#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00001	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	05C91@bactNOG,0GAN7@delNOG,0I2ZP@eproNOG,16PIX@proNOG,COG0104@NOG	Plays an important role in the de novo pathway of purine nucleotide biosynthesis			SZUA-1327_1:634..1896	Adenylosuccinate synthetase	K01939	K01939	K01939	K01939	K01939
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00002	K07126		K07126	uncharacterized protein					SZUA-1327_1:1920..2171	hypothetical protein	K07126	K07126			
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00003	K01929	[EC:6.3.2.10]	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	07EES@bactNOG,0GBI4@delNOG,0I2K6@eproNOG,16UX2@proNOG,COG0770@NOG	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein (By similarity)			SZUA-1327_1:2189..3661	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	K01929	K01929	K01929	K01929	K21612
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00004	K03469	[EC:3.1.26.4]	rnhA, RNASEH1	ribonuclease HI	08207@bactNOG,0EUXW@cloNOG,0P3FS@firmNOG,COG0328@NOG	Ribonuclease H			SZUA-1327_1:3664..4698	Bifunctional protein	K03469	K03469		K03469	K14159
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00005	K01921	[EC:6.3.2.4]	ddl	D-alanine-D-alanine ligase	05CPF@bactNOG,0GB0C@delNOG,0I2WY@eproNOG,16S5K@proNOG,COG1181@NOG	Cell wall formation (By similarity)			SZUA-1327_2:58..1083	D-alanine--D-alanine ligase	K01921	K01921		K00075	K18856
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00006	K01055	[EC:3.1.1.24]	pcaD	3-oxoadipate enol-lactonase	08RUW@bactNOG,0GDC6@delNOG,0I3G8@eproNOG,178G2@proNOG,COG0596@NOG	hydrolase			SZUA-1327_2:1083..1805	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	K01055			K01055	K21821
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00007	K07000		K07000	uncharacterized protein	05IPS@bactNOG,0GFES@delNOG,0I459@eproNOG,173P4@proNOG,COG3150@NOG	Uncharacterised protein family (UPF0227)			SZUA-1327_2:1774..2325	hypothetical protein	K07000	K07000		K07000	K07000
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00008					0669R@bactNOG,0GHWX@delNOG,0I4BU@eproNOG,0XU5H@NOG,17RA3@proNOG	Cytochrome c			SZUA-1327_2:2318..2683	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00009					07PIK@bactNOG,0BPIS@bproNOG,0ZU7H@NOG,186UQ@proNOG				SZUA-1327_2:2683..3276	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00010									SZUA-1327_3:133..1728	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00011									SZUA-1327_3:1715..1912	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00012									SZUA-1327_3:1925..3148	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00013	K01768	[EC:4.6.1.1]	E4.6.1.1	adenylate cyclase	05F8J@bactNOG,0GB6E@delNOG,0I2SY@eproNOG,16R78@proNOG,COG2114@NOG,COG4252@NOG	Adenylate guanylate cyclase			SZUA-1327_3:3160..5400	Adenylate cyclase 2	K01768	K01768		K01768	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00014	K13668	[EC:2.4.1.346]	pimB	phosphatidyl-myo-inositol dimannoside synthase	05CGN@bactNOG,0GBVH@delNOG,0I3JZ@eproNOG,0XNZB@NOG,16RCH@proNOG	Glycosyl transferase group			SZUA-1327_4:108..1235	N, N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase	K13668			K13668	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00015					08ENI@bactNOG,0GSGH@delNOG,0I667@eproNOG,17126@proNOG,COG4664@NOG	DctM-like transporters			SZUA-1327_4:1232..2500	C4-dicarboxylate TRAP transporter large permease protein DctM					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00016	K00766	[EC:2.4.2.18]	trpD	anthranilate phosphoribosyltransferase	07QYG@bactNOG,0GBQH@delNOG,0I33P@eproNOG,16QXI@proNOG,COG0547@NOG	anthranilate phosphoribosyltransferase (EC 2.4.2.18)			SZUA-1327_4:c(2517..3500)	Anthranilate phosphoribosyltransferase	K00766	K00766		K00766	K13497
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00017	K03798	[EC:3.4.24.-]	ftsH, hflB	cell division protease FtsH	05C3H@bactNOG,0GAMY@delNOG,0I2NG@eproNOG,16QNR@proNOG,COG0465@NOG	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)			SZUA-1327_4:c(3481..5067)	ATP-dependent zinc metalloprotease FtsH	K03798	K03798	K03798	K03798	K08956
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00018	K00058	[EC:1.1.1.95][EC:1.1.1.399]	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	08JQ1@bactNOG,0GT4J@delNOG,0I6C7@eproNOG,173EN@proNOG,COG0111@NOG	d-isomer specific 2-hydroxyacid dehydrogenase			SZUA-1327_5:17..925	Hydroxypyruvate reductase	K00058	K00058		K00058	K16843
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00019	K01784	[EC:5.1.3.2]	galE, GALE	UDP-glucose 4-epimerase	08P3J@bactNOG,0GDCS@delNOG,17452@proNOG,COG0451@NOG	epimerase dehydratase			SZUA-1327_5:922..1800	UDP-glucose 4-epimerase	K01784	K01784		K01784	K22025
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00020	K07130	[EC:3.5.1.9]	kynB	arylformamidase	08PSB@bactNOG,0GGMT@delNOG,0I5BH@eproNOG,17GZV@proNOG,COG1878@NOG	Putative cyclase			SZUA-1327_5:1797..2447	Kynurenine formamidase	K07130				K07130
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00021	K01662	[EC:2.2.1.7]	dxs	1-deoxy-D-xylulose-5-phosphate synthase	05C2V@bactNOG,0GAJ1@delNOG,0I2GI@eproNOG,16PEN@proNOG,COG1154@NOG	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)			SZUA-1327_6:493..2316	1-deoxy-D-xylulose-5-phosphate synthase	K01662	K01662	K01662	K01662	K01662
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00022	K07533	[EC:5.2.1.8]	prsA	foldase protein PrsA	05MM2@bactNOG,0GFXF@delNOG,0I453@eproNOG,17GJ6@proNOG,COG0760@NOG	Periplasmic protein			SZUA-1327_6:2313..3134	Chaperone SurA	K07533				K07533
