#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00001					05GRK@bactNOG,11NHI@NOG	Gcn5-related n-acetyltransferase			SZUA-1123_1:101..577	Mycothiol acetyltransferase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00002	K09992		K09992	uncharacterized protein	129KF@NOG,arCOG10292@arNOG	Trehalose utilisation			SZUA-1123_1:c(572..1372)	hypothetical protein	K09992			K09992	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00003	K00854	[EC:2.7.1.17]	xylB, XYLB	xylulokinase	0035Z@aciNOG,05CMG@bactNOG,COG1070@NOG	xylulokinase (EC 2.7.1.17)			SZUA-1123_1:1452..2951	Xylulose kinase	K00854	K00854		K00854	K11216
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00004	K01805	[EC:5.3.1.5]	xylA	xylose isomerase	005PS@aciNOG,05C93@bactNOG,COG2115@NOG	xylose isomerase			SZUA-1123_1:2962..4131	Xylose isomerase	K01805	K01805		K01805	K01805
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00005	K19974	[EC:5.1.3.35]	acbO	2-epi-5-epi-valiolone 7-phosphate 2-epimerase	07SDH@bactNOG,153CT@plaNOG,COG1082@NOG	protein TIM barrel			SZUA-1123_1:4256..5245	Inosose dehydratase	K19974				K19974
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00006	K20590	[EC:1.1.1.-]	genD2, gtmC, gntC	gentamicin A2 dehydrogenase	07QX2@bactNOG,09AWZ@bctoNOG,COG0673@NOG	Oxidoreductase domain protein			SZUA-1123_1:5259..6422	Glucose-6-phosphate 3-dehydrogenase	K20590				K20590
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00007	K21166		sgcE9, ncsE9, kedE9	enediyne biosynthesis protein E9	004UJ@aciNOG,05D7H@bactNOG,COG2303@NOG	glucose-methanol-choline oxidoreductase			SZUA-1123_1:6456..8162	Fructose dehydrogenase large subunit	K21166				K21166
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00008					08VPF@bactNOG,09EC6@bctoNOG,11J8Q@NOG	Tat (Twin-arginine translocation) pathway signal sequence			SZUA-1123_1:8312..8935	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00009	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	07QQQ@bactNOG,COG4993@NOG	Pfam:PQQ_N			SZUA-1123_1:9114..11096	Quinoprotein glucose dehydrogenase	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00010	K02004		ABC.CD.P	putative ABC transport system permease protein	05D2V@bactNOG,0XP9H@NOG	ABC transporter (Permease			SZUA-1123_1:c(11164..13602)	Macrolide export ATP-binding/permease protein MacB	K02004			K02004	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00011	K01607	[EC:4.1.1.44]	pcaC	4-carboxymuconolactone decarboxylase	01Y0R@aproNOG,08Z0A@bactNOG,17C62@proNOG,COG1917@NOG	Cupin 2, conserved barrel domain protein			SZUA-1123_1:13778..14212	hypothetical protein	K01607			K01607	
