#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00001					05PN5@bactNOG,0FMVY@cyaNOG,11YV8@NOG	Aldolase_II			SZUA-1433_1:82..522	Methylthioribulose-1-phosphate dehydratase					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00002					066PH@bactNOG,0GHYP@delNOG,0I4C6@eproNOG,0XTTG@NOG,17QYU@proNOG				SZUA-1433_1:c(500..874)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00003					05ZG9@bactNOG,0GHFF@delNOG,0I4J8@eproNOG,127XQ@NOG,17NP6@proNOG	NosL			SZUA-1433_1:c(884..1372)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00004	K01992		ABC-2.P	ABC-2 type transport system permease protein	07TC7@bactNOG,0GCB4@delNOG,0I33F@eproNOG,0XSYP@NOG,16TMI@proNOG	abc transporter, permease			SZUA-1433_1:c(1372..2199)	putative ABC transporter permease protein NosY	K01992	K01992		K01992	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00005	K19342		nosL	copper chaperone NosL	084CF@bactNOG,0GHBA@delNOG,0I4FB@eproNOG,0ZXNH@NOG,17K4P@proNOG	NosL			SZUA-1433_1:c(2196..2510)	hypothetical protein	K19342			K19342	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00006					06I0Z@bactNOG,0GFEP@delNOG,0I5E0@eproNOG,0Y6CB@NOG,180RV@proNOG	Outer membrane efflux protein			SZUA-1433_2:387..2093	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00007	K03497		parB, spo0J	chromosome partitioning protein, ParB family	05FA0@bactNOG,0GC3Q@delNOG,0I3DB@eproNOG,16QIW@proNOG,COG1475@NOG	Stage 0 sporulation protein j			SZUA-1433_3:c(394..1248)	putative chromosome-partitioning protein ParB	K03497	K03497		K03497	K03497
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00008	K03496		parA, soj	chromosome partitioning protein	07QJE@bactNOG,0GBM1@delNOG,0I2UR@eproNOG,16PGD@proNOG,COG1192@NOG	Para family			SZUA-1433_3:c(1257..2042)	Sporulation initiation inhibitor protein Soj	K03496	K03496	K03496	K03496	K12055
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00009	K03524	[EC:6.3.4.15]	birA	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase	08054@bactNOG,0GRUK@delNOG,16W3Y@proNOG,COG0340@NOG	biotin--protein ligase (EC 6.3.4.15)			SZUA-1433_3:c(2039..2713)	Bifunctional ligase/repressor BirA	K03524	K03524		K03524	K03524
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00010	K00604	[EC:2.1.2.9]	MTFMT, fmt	methionyl-tRNA formyltransferase	05CAE@bactNOG,0GAME@delNOG,0I31C@eproNOG,16PY6@proNOG,COG0223@NOG	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)			SZUA-1433_3:c(2664..3575)	Methionyl-tRNA formyltransferase	K00604	K00604		K00604	K19640
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00011	K00931	[EC:2.7.2.11]	proB	glutamate 5-kinase	05CGT@bactNOG,0GBSW@delNOG,0I2UA@eproNOG,16PXA@proNOG,COG0263@NOG	Catalyzes the transfer of a phosphate group to glutamate to form glutamate 5-phosphate which rapidly cyclizes to 5- oxoproline (By similarity)			SZUA-1433_3:c(3572..4339)	Glutamate 5-kinase	K00931	K00931		K00931	K00931
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00012									SZUA-1433_3:c(4320..4535)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00013	K02037		pstC	phosphate transport system permease protein	05C8U@bactNOG,0GB3S@delNOG,0I366@eproNOG,16PMF@proNOG,COG0573@NOG	phosphate abc transporter			SZUA-1433_4:130..981	Phosphate transport system permease protein PstC	K02037	K02037		K02037	K02037
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00014	K02038		pstA	phosphate transport system permease protein	05E2Z@bactNOG,0GC4F@delNOG,0I2PK@eproNOG,16PUW@proNOG,COG0581@NOG	phosphate ABC transporter			SZUA-1433_4:978..1787	Phosphate transport system permease protein PstA	K02038	K02038		K02037	K02038
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00015									SZUA-1433_4:1870..1962	hypothetical protein					
