#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00001	K21454		tcaR	MarR family transcriptional regulator, teicoplanin-associated locus regulator	022NF@aproNOG,05Z93@bactNOG,17R63@proNOG,COG1846@NOG	transcriptional regulator			SZUA-1491_1:422..712	hypothetical protein	K21454				K21454
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00002	K08259	[EC:3.4.24.75]	lytM	lysostaphin	05DR5@bactNOG,0D1WS@chloNOG,COG0739@NOG	peptidase			SZUA-1491_1:770..1687	Murein hydrolase activator NlpD	K08259			K08259	K21472
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00003	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	05CM0@bactNOG,0D1EK@chloNOG,0D6VM@chlorNOG,COG0518@NOG,COG0519@NOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1491_1:1774..3333	GMP synthase [glutamine-hydrolyzing]	K01951	K01951		K01951	K01951
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00004					06BMD@bactNOG,0D2D8@chloNOG,0YX40@NOG				SZUA-1491_1:3335..4843	hypothetical protein					
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00005	K07301		yrbG	cation:H+ antiporter	05FEU@bactNOG,0GB9G@delNOG,0HE32@dproNOG,16PQ7@proNOG,COG0530@NOG	Na Ca antiporter, CaCA family			SZUA-1491_1:c(4871..5932)	Inner membrane protein YrbG	K07301	K07301		K07301	K07301
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00006	K02961		RP-S17, MRPS17, rpsQ	small subunit ribosomal protein S17	02FVF@aquNOG,05K87@bactNOG,COG0186@NOG	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal			SZUA-1491_2:100..378	30S ribosomal protein S17	K02961	K02961	K02961	K02961	K02961
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00007	K02874		RP-L14, MRPL14, rplN	large subunit ribosomal protein L14	08UNN@bactNOG,0ESCS@cloNOG,0NI2N@firmNOG,COG0093@NOG	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)			SZUA-1491_2:434..802	50S ribosomal protein L14	K02874	K02874	K02874	K02874	K02894
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00008	K02895		RP-L24, MRPL24, rplX	large subunit ribosomal protein L24	05KAR@bactNOG,1CGUZ@therNOG,COG0198@NOG	One of two assembly initiator proteins, it binds directly to the 5'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)			SZUA-1491_2:818..1198	50S ribosomal protein L24	K02895	K02895		K02895	K02898
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00009	K02931		RP-L5, MRPL5, rplE	large subunit ribosomal protein L5	05CW6@bactNOG,0EPVH@cloNOG,0NEFD@firmNOG,COG0094@NOG	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits			SZUA-1491_2:1211..1756	50S ribosomal protein L5	K02931	K02931	K02931	K02931	K02931
Caldilineales_bacterium_SZUA-1491|SZUA-1491_00010	K02954		RP-S14, MRPS14, rpsN	small subunit ribosomal protein S14	082QR@bactNOG,0D33E@chloNOG,COG0199@NOG	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)			SZUA-1491_2:1855..2037	30S ribosomal protein S14	K02954	K02954		K02954	K02980
