#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00002	K02967		RP-S2, MRPS2, rpsB	small subunit ribosomal protein S2	05CE9@bactNOG,0QHY7@gproNOG,16PFF@proNOG,COG0052@NOG	30S ribosomal protein S2			SZUA-1235_1:1395..2120	30S ribosomal protein S2	K02967	K02967	K02967	K02967	K02998
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00003	K02357		tsf, TSFM	elongation factor Ts	05CU7@bactNOG,0QI4Y@gproNOG,16QAP@proNOG,COG0264@NOG	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)			SZUA-1235_1:2220..3095	Elongation factor Ts	K02357	K02357	K02357	K02357	K02357
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00004	K09903	[EC:2.7.4.22]	pyrH	uridylate kinase	05C41@bactNOG,0QHYJ@gproNOG,16Q8Q@proNOG,COG0528@NOG	Catalyzes the reversible phosphorylation of UMP to UDP (By similarity)			SZUA-1235_1:3117..3830	Uridylate kinase	K09903	K09903		K09903	K09903
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00005	K02838		frr, MRRF, RRF	ribosome recycling factor	08VCV@bactNOG,0QK49@gproNOG,16X46@proNOG,COG0233@NOG	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)			SZUA-1235_1:3843..4400	Ribosome-recycling factor	K02838	K02838		K02838	K02838
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00006	K00806	[EC:2.5.1.31]	uppS	undecaprenyl diphosphate synthase	05CR3@bactNOG,0B81I@bproNOG,16PWI@proNOG,COG0020@NOG	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)			SZUA-1235_1:4459..5166	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	K00806	K00806		K00806	K21273
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00007	K00981	[EC:2.7.7.41]	E2.7.7.41, CDS1, CDS2, cdsA	phosphatidate cytidylyltransferase	05KNE@bactNOG,0QQ9C@gproNOG,16TPY@proNOG,COG0575@NOG	Phosphatidate cytidylyltransferase			SZUA-1235_1:5189..6019	Phosphatidate cytidylyltransferase	K00981	K00981		K00981	K19664
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00008	K00099	[EC:1.1.1.267]	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase	05CEA@bactNOG,0QHPU@gproNOG,16Q1Q@proNOG,COG0743@NOG	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP) (By similarity)			SZUA-1235_1:6010..7215	1-deoxy-D-xylulose 5-phosphate reductoisomerase	K00099	K00099	K00099	K00099	K00099
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00009									SZUA-1235_2:c(1123..1554)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00010	K02517	[EC:2.3.1.241]	lpxL, htrB	Kdo2-lipid IVA lauroyltransferase	05D1S@bactNOG,COG1560@NOG	lipid A biosynthesis			SZUA-1235_3:22..858	Lipid A biosynthesis palmitoleoyltransferase	K02517	K02517	K02517	K02517	K12974
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00011					05I52@bactNOG,0QS6M@gproNOG,11PY3@NOG,17DIJ@proNOG	von willebrand factor, type a			SZUA-1235_3:956..2737	hypothetical protein					
