#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00001					07UU5@bactNOG,0QXJ4@gproNOG,16R8Q@proNOG,COG5361@NOG	Protein of unknown function (DUF1254)			SZUA-1530_1:148..1170	hypothetical protein					
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00002					07UU5@bactNOG,09RRQ@bctoNOG,COG5361@NOG	Protein of unknown function (DUF1254)			SZUA-1530_1:1295..2416	hypothetical protein					
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00005	K16235		mmuP	S-methylmethionine transporter	08IQI@bactNOG,0RATB@gproNOG,172WX@proNOG,COG0833@NOG	S-methylmethionine transporter			SZUA-1530_2:c(409..1815)	Amino-acid permease RocC	K16235	K16235	K16235	K02205	K16261
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00008	K01885	[EC:6.1.1.17]	EARS, gltX	glutamyl-tRNA synthetase	05C20@bactNOG,0QIH4@gproNOG,16PDR@proNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1530_2:c(2165..3673)	Glutamate--tRNA ligase	K01885	K01885		K01885	K09698
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00009									SZUA-1530_2:c(3780..4082)	hypothetical protein					
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00010	K02048		cysP, sbp	sulfate transport system substrate-binding protein	05DE7@bactNOG,0QIC1@gproNOG,16QE3@proNOG,COG1613@NOG	Sulfate ABC transporter periplasmic sulfate-binding protein			SZUA-1530_2:4486..5481	Sulfate-binding protein	K02048	K02048	K02048	K02048	K02048
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00011	K03438	[EC:2.1.1.199]	mraW, rsmH	16S rRNA (cytosine1402-N4)-methyltransferase	05CGJ@bactNOG,0QHZ8@gproNOG,16PKX@proNOG,COG0275@NOG	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)			SZUA-1530_2:5679..6602	Ribosomal RNA small subunit methyltransferase H	K03438	K03438		K03438	K03438
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00012	K03586		ftsL	cell division protein FtsL					SZUA-1530_2:6602..6940	Cell division protein FtsL	K03586	K03586			
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00013	K03587	[EC:3.4.16.4]	ftsI	cell division protein FtsI (penicillin-binding protein 3)	05CJN@bactNOG,0QI6S@gproNOG,16PPB@proNOG,COG0768@NOG	peptidoglycan synthetase ftsI			SZUA-1530_2:6951..8780	Peptidoglycan D,D-transpeptidase FtsI	K03587	K03587		K03587	K21468
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00014	K01928	[EC:6.3.2.13]	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	07EEN@bactNOG,0QI2X@gproNOG,16R0P@proNOG,COG0769@NOG	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)			SZUA-1530_2:8788..10287	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	K01928	K01928		K01928	K15792
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00015	K01929	[EC:6.3.2.10]	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	08EQQ@bactNOG,0RA40@gproNOG,17147@proNOG,COG0770@NOG	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein (By similarity)			SZUA-1530_2:10309..11706	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	K01929	K01929		K01928	K21612
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00016	K01000	[EC:2.7.8.13]	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	05CPY@bactNOG,0QHUN@gproNOG,16PH5@proNOG,COG0472@NOG	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan (By similarity)			SZUA-1530_2:11707..12825	Phospho-N-acetylmuramoyl-pentapeptide- transferase	K01000	K01000		K01000	K13685
Acinetobacter_venetianus_SZUA-1530|SZUA-1530_00017	K00563	[EC:2.1.1.187]	rlmA1	23S rRNA (guanine745-N1)-methyltransferase	05DHI@bactNOG,0QK7A@gproNOG,16R2Z@proNOG,COG0500@NOG	methyltransferase			SZUA-1530_2:12885..13703	23S rRNA (guanine(745)-N(1))-methyltransferase	K00563	K00563	K00563	K00563	K21377
