#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Aquifex_sp_SZUA-1459|SZUA-1459_00001	K03106	[EC:3.6.5.4]	SRP54, ffh	signal recognition particle subunit SRP54	02EMG@aquNOG,05CB9@bactNOG,COG0541@NOG	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY (By similarity)			SZUA-1459_1:83..994	Signal recognition particle protein	K03106	K03106		K03106	K03106
Aquifex_sp_SZUA-1459|SZUA-1459_00002	K02959		RP-S16, MRPS16, rpsP	small subunit ribosomal protein S16	02FYJ@aquNOG,085RT@bactNOG,COG0228@NOG	30s ribosomal protein S16			SZUA-1459_1:1026..1283	30S ribosomal protein S16	K02959	K02959	K02959	K02959	K02959
Aquifex_sp_SZUA-1459|SZUA-1459_00003	K06960		K06960	uncharacterized protein	02G0H@aquNOG,05VB6@bactNOG,COG1837@NOG	UPF0109 protein			SZUA-1459_1:1305..1544	hypothetical protein	K06960	K06960		K06960	K06960
Aquifex_sp_SZUA-1459|SZUA-1459_00004	K02420		fliQ	flagellar biosynthetic protein FliQ	02FWS@aquNOG,05VS8@bactNOG,COG1987@NOG	Flagellar biosynthetic protein FliQ			SZUA-1459_2:c(907..1176)	hypothetical protein	K02420	K02420		K02420	K03227
Aquifex_sp_SZUA-1459|SZUA-1459_00005	K02674		pilY1	type IV pilus assembly protein PilY1	02ETI@aquNOG,07R4P@bactNOG,COG3419@NOG	Tfp pilus assembly protein tip-associated adhesin PilY1-like protein			SZUA-1459_2:c(1206..3311)	Type IV pilus biogenesis factor PilY1	K02674	K02674		K02674	K02674
Aquifex_sp_SZUA-1459|SZUA-1459_00006									SZUA-1459_3:c(1070..2230)	hypothetical protein					
Aquifex_sp_SZUA-1459|SZUA-1459_00007	K03742	[EC:3.5.1.42]	pncC	nicotinamide-nucleotide amidase	02FP8@aquNOG,080S9@bactNOG,COG1546@NOG	cina domain protein			SZUA-1459_4:c(607..1491)	Nicotinamide-nucleotide amidohydrolase PncC	K03742	K03742	K03743	K03742	K03743
Aquifex_sp_SZUA-1459|SZUA-1459_00008	K01770	[EC:4.6.1.12]	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	02FKC@aquNOG,08UH8@bactNOG,COG0245@NOG	Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP) (By similarity)			SZUA-1459_4:c(1497..1979)	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	K01770	K01770		K01770	K12506
Aquifex_sp_SZUA-1459|SZUA-1459_00009	K09009		K09009	uncharacterized protein	08UP4@bactNOG,1CGMQ@therNOG,COG1507@NOG	Protein of unknown function (DUF501)			SZUA-1459_5:1057..1581	hypothetical protein	K09009	K09009		K09009	K09009
Aquifex_sp_SZUA-1459|SZUA-1459_00010									SZUA-1459_5:c(1578..1691)	hypothetical protein					
Aquifex_sp_SZUA-1459|SZUA-1459_00011	K09804		K09804	uncharacterized protein	02FFK@aquNOG,08W9V@bactNOG,COG2952@NOG	Protein of unknown function (DUF507)			SZUA-1459_6:25..576	hypothetical protein	K09804			K09804	K09804
Aquifex_sp_SZUA-1459|SZUA-1459_00012									SZUA-1459_7:c(113..457)	hypothetical protein					
Aquifex_sp_SZUA-1459|SZUA-1459_00013	K06176	[EC:5.4.99.27]	truD, PUS7	tRNA pseudouridine13 synthase	02FEJ@aquNOG,088NP@bactNOG,COG0585@NOG	tRNA pseudouridine synthase D			SZUA-1459_7:c(464..1411)	tRNA pseudouridine synthase D	K06176	K06176		K06176	K06176
Aquifex_sp_SZUA-1459|SZUA-1459_00014	K06402	[EC:3.4.24.-]	spoIVFB	stage IV sporulation protein FB	02FCS@aquNOG,08Z4T@bactNOG,COG1994@NOG	Peptidase M50			SZUA-1459_8:233..850	hypothetical protein	K06402				K06402
Aquifex_sp_SZUA-1459|SZUA-1459_00015					02G39@aquNOG,06E84@bactNOG,0Y6G0@NOG				SZUA-1459_8:912..1166	hypothetical protein					
Aquifex_sp_SZUA-1459|SZUA-1459_00016	K01845	[EC:5.4.3.8]	hemL	glutamate-1-semialdehyde 2,1-aminomutase	02F14@aquNOG,05CDM@bactNOG,COG0001@NOG	Glutamate-1-semialdehyde aminotransferase			SZUA-1459_8:c(1163..2440)	Glutamate-1-semialdehyde 2,1-aminomutase	K01845	K01845		K01845	K20597
Aquifex_sp_SZUA-1459|SZUA-1459_00017	K08361				02I2Z@arcNOG,02U3I@arNOG,0KYKH@eurNOG,COG2180@NOG	Nitrate reductase delta subunit			SZUA-1459_9:c(407..958)	hypothetical protein	K08361				K08361
Aquifex_sp_SZUA-1459|SZUA-1459_00018	K06915		K06915	uncharacterized protein	02F0Q@aquNOG,061U6@bactNOG,COG0433@NOG	Inherit from bactNOG: (ATPase)-like protein			SZUA-1459_9:997..2796	hypothetical protein	K06915	K06915		K06915	K06915
Aquifex_sp_SZUA-1459|SZUA-1459_00019									SZUA-1459_10:c(237..497)	hypothetical protein					
Aquifex_sp_SZUA-1459|SZUA-1459_00020									SZUA-1459_10:c(623..1015)	hypothetical protein					
Aquifex_sp_SZUA-1459|SZUA-1459_00021					02F2B@aquNOG,08K4H@bactNOG,0ZXIA@NOG				SZUA-1459_10:c(1088..1732)	hypothetical protein					
Aquifex_sp_SZUA-1459|SZUA-1459_00022	K02838		frr, MRRF, RRF	ribosome recycling factor	02FDG@aquNOG,08VCV@bactNOG,COG0233@NOG	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)			SZUA-1459_10:c(1796..2356)	Ribosome-recycling factor	K02838	K02838		K02838	K02838
