#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00001	K03892		arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	00P00@actNOG,05NK3@bactNOG,COG0640@NOG	transcriptional regulator, ArsR family			SZUA-1093_1:1101..1487	HTH-type transcriptional repressor CzrA	K03892			K03892	K22043
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00002	K00221	[EC:4.99.1.2]	E4.99.1.2	alkylmercury lyase	052JG@bacNOG,05UD4@bactNOG,0NZCH@firmNOG,121BM@NOG	Alkylmercury lyase			SZUA-1093_1:1584..2108	Alkylmercury lyase	K00221	K00221		K00221	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00003					05X4H@bactNOG,0QX4W@gproNOG,124CJ@NOG,17MCF@proNOG				SZUA-1093_1:2336..2497	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00004	K06994		K06994	putative drug exporter of the RND superfamily	00DDZ@actNOG,07WA4@bactNOG,COG2409@NOG	MmpL domain-containing protein			SZUA-1093_1:c(2954..3319)	Heme uptake protein MmpL11	K06994	K06994		K06994	K20466
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00005	K06994		K06994	putative drug exporter of the RND superfamily	00DDZ@actNOG,07WA4@bactNOG,COG2409@NOG	MmpL domain-containing protein			SZUA-1093_1:c(3292..3675)	Heme uptake protein MmpL11	K06994	K06994		K06994	K20466
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00006									SZUA-1093_1:c(3792..3956)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00007	K01138	[EC:3.1.6.-]	K01138	uncharacterized sulfatase	053B6@bacNOG,060M5@bactNOG,0NGN8@firmNOG,COG3119@NOG	Type I phosphodiesterase / nucleotide pyrophosphatase			SZUA-1093_1:4086..4349	Arylsulfatase	K01138				K01138
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00008									SZUA-1093_1:4433..4786	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00009					08R62@bactNOG,11FI2@NOG	Protein of unknown function (DUF1679)			SZUA-1093_1:4792..5430	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00010					08R62@bactNOG,11FI2@NOG	Protein of unknown function (DUF1679)			SZUA-1093_1:5434..5865	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00011	K00797	[EC:2.5.1.16]	speE, SRM	spermidine synthase	00GKS@actNOG,08PB0@bactNOG,0ZZQF@NOG				SZUA-1093_1:5995..6714	Polyamine aminopropyltransferase	K00797			K00797	
