#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00001	K01897	[EC:6.2.1.3]	ACSL, fadD	long-chain acyl-CoA synthetase	05CEY@bactNOG,0QIVG@gproNOG,16PEQ@proNOG,COG0318@NOG	Long-chain-fatty-acid-CoA ligase			SZUA-1017_1:c(1315..2913)	Long-chain-fatty-acid--CoA ligase	K01897	K01897		K00666	K21792
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00002	K06900		K06900	uncharacterized protein	060WP@bactNOG,0FS2K@cyaNOG,COG3621@NOG	Patatin-like phospholipase			SZUA-1017_1:c(2916..3938)	hypothetical protein	K06900			K06900	K06900
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00003	K00632	[EC:2.3.1.16]	fadA, fadI	acetyl-CoA acyltransferase	05CHU@bactNOG,0B73G@bproNOG,16PGG@proNOG,COG0183@NOG	acetyL-CoA acetyltransferase			SZUA-1017_1:c(3935..4867)	3-ketoacyl-CoA thiolase	K00632	K00632		K00632	K07823
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00004	K07012	[EC:3.1.-.-][EC:3.6.4.-]	cas3	CRISPR-associated endonuclease/helicase Cas3	07IIZ@bactNOG,0QJFS@gproNOG,16RPT@proNOG,COG1203@NOG	CRISPR-associated helicase, Cas3			SZUA-1017_2:107..3397	CRISPR-associated nuclease/helicase Cas3 subtype I-F/YPEST	K07012	K07012		K07012	K07012
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00006	K03073		secE	preprotein translocase subunit SecE	0683Z@bactNOG,0QY8G@gproNOG,0XUXP@NOG,17SG1@proNOG	preprotein translocase subunit SecE			SZUA-1017_3:209..580	Protein translocase subunit SecE	K03073	K03073		K03073	
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00007	K02601		nusG	transcriptional antiterminator NusG	05E5V@bactNOG,0QIGQ@gproNOG,16R26@proNOG,COG0250@NOG	Participates in transcription elongation, termination and antitermination (By similarity)			SZUA-1017_3:592..1125	Transcription termination/antitermination protein NusG	K02601	K02601		K02601	K05785
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00008	K02867		RP-L11, MRPL11, rplK	large subunit ribosomal protein L11	08UIK@bactNOG,0QQ09@gproNOG,177SZ@proNOG,COG0080@NOG	This protein binds directly to 23S ribosomal RNA (By similarity)			SZUA-1017_3:1211..1639	50S ribosomal protein L11	K02867	K02867	K02867	K02867	K02870
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00009	K02863		RP-L1, MRPL1, rplA	large subunit ribosomal protein L1	05C64@bactNOG,0QI3C@gproNOG,16PIW@proNOG,COG0081@NOG	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)			SZUA-1017_3:1644..2339	50S ribosomal protein L1	K02863	K02863		K02863	K02865
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00010	K02864		RP-L10, MRPL10, rplJ	large subunit ribosomal protein L10	08VZM@bactNOG,0QPXR@gproNOG,177S6@proNOG,COG0244@NOG	50S ribosomal protein L10			SZUA-1017_3:2537..3055	50S ribosomal protein L10	K02864	K02864		K02864	K14815
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00011	K02935		RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12	05KBC@bactNOG,0QTKX@gproNOG,17FF2@proNOG,COG0222@NOG	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)			SZUA-1017_3:3090..3464	50S ribosomal protein L7/L12	K02935	K02935		K02935	K02935
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00012	K03043	[EC:2.7.7.6]	rpoB	DNA-directed RNA polymerase subunit beta	08IIJ@bactNOG,0RAQH@gproNOG,172SA@proNOG,COG0085@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1017_3:3631..7713	DNA-directed RNA polymerase subunit beta	K03043	K03043		K03043	K13798
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00013	K03046	[EC:2.7.7.6]	rpoC	DNA-directed RNA polymerase subunit beta'	05D27@bactNOG,0QJIU@gproNOG,16PNC@proNOG,COG0086@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1017_3:7727..11911	DNA-directed RNA polymerase subunit beta'	K03046	K03046	K03046	K03046	K13797
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00014	K01657	[EC:4.1.3.27]	trpE	anthranilate synthase component I	05CRQ@bactNOG,0QIPW@gproNOG,16R32@proNOG,COG0147@NOG	anthranilate synthase component I			SZUA-1017_3:11993..13447	Anthranilate synthase component 1	K01657	K01657		K01657	K20159
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00015	K17223		soxX	sulfur-oxidizing protein SoxX	05WWQ@bactNOG,0QW1S@gproNOG,12402@NOG,17KX8@proNOG	Sulfur oxidation			SZUA-1017_3:13587..13934	hypothetical protein	K17223	K17223		K17223	
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00016	K17226		soxY	sulfur-oxidizing protein SoxY	05GAC@bactNOG,0QTTR@gproNOG,17CAK@proNOG,COG5501@NOG	Sulfur oxidation protein			SZUA-1017_3:13945..14391	hypothetical protein	K17226	K17226		K17226	
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00017	K17227		soxZ	sulfur-oxidizing protein SoxZ	06001@bactNOG,0QWJ0@gproNOG,127MW@NOG,17NZY@proNOG	Sulfur oxidation protein			SZUA-1017_3:14426..14728	hypothetical protein	K17227	K17227		K17227	
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00018	K17222		soxA	sulfur-oxidizing protein SoxA	05QN4@bactNOG,0QJ0Q@gproNOG,0XSDE@NOG,16SPB@proNOG	Sulfur oxidation			SZUA-1017_3:14756..15577	SoxAX cytochrome complex subunit A	K17222	K17222		K17222	
Candidatus_autotrophicus_SZUA-1017|SZUA-1017_00019									SZUA-1017_3:15589..15909	hypothetical protein					
