#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00001	K01921	[EC:6.3.2.4]	ddl	D-alanine-D-alanine ligase	02ENA@aquNOG,05CPF@bactNOG,COG1181@NOG	Cell wall formation (By similarity)			SZUA-1520_1:c(277..1146)	D-alanine--D-alanine ligase B	K01921	K01921		K00075	K18856
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00002	K00075	[EC:1.3.1.98]	murB	UDP-N-acetylmuramate dehydrogenase	02F92@aquNOG,05D4A@bactNOG,COG0812@NOG	Cell wall formation (By similarity)			SZUA-1520_1:c(1109..1996)	UDP-N-acetylenolpyruvoylglucosamine reductase	K00075	K00075		K00075	K00075
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00003	K07176		K07176	putative serine/threonine protein kinase	02FPB@aquNOG,05JV6@bactNOG,COG2112@NOG	serine threonine protein kinase			SZUA-1520_1:c(2001..2579)	hypothetical protein	K07176			K07176	K07176
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00004	K01588	[EC:5.4.99.18]	purE	5-(carboxyamino)imidazole ribonucleotide mutase	02FES@aquNOG,08UM6@bactNOG,COG0041@NOG	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR) (By similarity)			SZUA-1520_1:2596..3081	N5-carboxyaminoimidazole ribonucleotide mutase	K01588	K01588	K01588	K01588	K01588
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00005	K01589	[EC:6.3.4.18]	purK	5-(carboxyamino)imidazole ribonucleotide synthase	02F2K@aquNOG,05CY8@bactNOG,COG0026@NOG	phosphoribosylaminoimidazole carboxylase, ATPase subunit (EC 4.1.1.21)			SZUA-1520_1:3078..4178	N5-carboxyaminoimidazole ribonucleotide synthase	K01589	K01589		K01589	K01589
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00006	K03653	[EC:3.2.2.-][EC:4.2.99.18]	K03653	N-glycosylase/DNA lyase	02FB6@aquNOG,05GRF@bactNOG,COG1059@NOG	N-glycosylase DNA lyase			SZUA-1520_1:4169..4837	putative N-glycosylase/DNA lyase	K03653	K03653	K03653	K03653	K03653
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00007					02FJK@aquNOG,05NZG@bactNOG,COG3411@NOG	ferredoxin 2Fe-2S			SZUA-1520_1:4907..5239	Ferredoxin, 2Fe-2S					
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00008	K03666		hfq	host factor-I protein	02FZD@aquNOG,05KW8@bactNOG,COG1923@NOG	RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs (By similarity)			SZUA-1520_1:c(5243..5491)	RNA-binding protein Hfq	K03666	K03666	K03666	K03666	K03666
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00009	K05521	[EC:3.2.2.24]	draG	ADP-ribosyl-[dinitrogen reductase] hydrolase	02EM9@aquNOG,07RER@bactNOG,COG1397@NOG	ADP-ribosylation crystallin J1			SZUA-1520_1:c(5593..5781)	hypothetical protein	K05521				K05521
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00010					02GRR@aquNOG,06C81@bactNOG,0Y0QT@NOG	PilZ domain			SZUA-1520_2:c(19..1050)	hypothetical protein					
Aquifex_aeolicus_SZUA-1520|SZUA-1520_00011	K00850	[EC:2.7.1.11]	pfkA, PFK	6-phosphofructokinase 1	02F0X@aquNOG,05CTQ@bactNOG,COG0205@NOG	6-phosphofructokinase (EC 2.7.1.11)			SZUA-1520_2:c(1062..2027)	ATP-dependent 6-phosphofructokinase 1	K00850	K00850		K00850	K21071
