#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00001	K03286		TC.OOP	OmpA-OmpF porin, OOP family	08ZG0@bactNOG,09E3X@bctoNOG,0P9P2@flaNOG,COG2885@NOG	ompa motb domain protein			SZUA-1406_1:c(142..2205)	Outer membrane porin F	K03286			K03286	K21218
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00002	K20543		bcsC	cellulose synthase operon protein C	07SQN@bactNOG,09C8T@bctoNOG,0PBXM@flaNOG,COG0457@NOG	repeat protein			SZUA-1406_1:c(2223..3284)	Photosystem I assembly protein Ycf3	K20543				K20543
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00003					05K4I@bactNOG,09RU2@bctoNOG,COG2340@NOG	Hemopexin			SZUA-1406_1:c(3414..4388)	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00004	K20333		toxD	toxoflavin biosynthesis protein ToxD	05E6M@bactNOG,09A8T@bctoNOG,0FW4Q@cytNOG,COG1262@NOG	gliding motility-associated lipoprotein GldK			SZUA-1406_2:c(269..1603)	Serine/threonine-protein kinase pkn1	K20333				K20333
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00005	K03088		rpoE	RNA polymerase sigma-70 factor, ECF subfamily	07I57@bactNOG,09Q07@bctoNOG,COG1595@NOG	RNA polymerase			SZUA-1406_2:c(1596..2117)	ECF RNA polymerase sigma factor EcfG	K03088	K03088		K03088	K03088
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00006									SZUA-1406_2:2247..2696	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00007	K21366	[EC:2.4.1.122]	wbnJ	N-acetylgalactosaminide beta-1,3-galactosyltransferase	05DVB@bactNOG,09BK9@bctoNOG,0FWJT@cytNOG,COG0463@NOG	Glycosyl transferase family 2			SZUA-1406_2:c(2698..3429)	Undecaprenyl-phosphate mannosyltransferase	K21366				K21366
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00008									SZUA-1406_2:3633..4133	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00009	K13721	[EC:3.4.11.-]	APE2	aminopeptidase 2	05CUN@bactNOG,099SN@bctoNOG,0P7Z9@flaNOG,COG0308@NOG	aminopeptidase			SZUA-1406_2:4137..6398	hypothetical protein	K13721				K13721
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00010	K21180		sgcD6	3-O-acyltransferase	05JD2@bactNOG,09JCV@bctoNOG,COG1835@NOG	Acyltransferase family			SZUA-1406_2:6417..8066	hypothetical protein	K21180				K21180
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00011									SZUA-1406_2:c(8072..8809)	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00012									SZUA-1406_3:214..387	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00013									SZUA-1406_3:428..652	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00014									SZUA-1406_4:c(244..1416)	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00015					05Q51@bactNOG,0NFCA@firmNOG,0XT85@NOG	Glycosyl Transferase			SZUA-1406_4:c(1409..2488)	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00016									SZUA-1406_4:c(2485..3372)	hypothetical protein					
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00017	K21337		mdpA5	aminotransferase	08KH7@bactNOG,0GHUM@delNOG,0HHTX@dproNOG,1768N@proNOG,COG0399@NOG	DegT DnrJ EryC1 StrS aminotransferase			SZUA-1406_4:c(3380..4618)	L-glutamine:2-deoxy-scyllo-inosose aminotransferase	K21337				K21337
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00018	K00633	[EC:2.3.1.18]	lacA	galactoside O-acetyltransferase	06FP4@bactNOG,18BTG@proNOG,COG0110@NOG	Inherit from COG: acetyltransferase			SZUA-1406_4:c(4615..5142)	Galactoside O-acetyltransferase	K00633			K00633	K21379
Crocinitomicaceae_bacterium_SZUA-1406|SZUA-1406_00019	K20946		vpsE	polysaccharide biosynthesis protein VpsE	08T0Z@bactNOG,09GNS@bctoNOG,0PB6A@flaNOG,COG2244@NOG	Polysaccharide biosynthesis protein			SZUA-1406_4:c(5129..6415)	hypothetical protein	K20946				K20946
