#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00001	K01622	[EC:4.1.2.13][EC:3.1.3.11]	K01622	fructose 1,6-bisphosphate aldolase/phosphatase	02F0N@aquNOG,07NFR@bactNOG,COG1980@NOG	Fructose-1,6-bisphosphatase			SZUA-1519_1:c(9..1154)	Fructose-1,6-bisphosphate aldolase/phosphatase	K01622	K01622		K01622	K01622
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00002	K09131		K09131	uncharacterized protein	02G4R@aquNOG,086YC@bactNOG,COG1872@NOG	UPF0235 protein			SZUA-1519_1:c(1216..1437)	hypothetical protein	K09131	K09131		K09131	K09131
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00003									SZUA-1519_1:c(1602..2027)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00004	K14441	[EC:2.8.4.4]	rimO	ribosomal protein S12 methylthiotransferase	02EW3@aquNOG,05CBM@bactNOG,COG0621@NOG	Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12 (By similarity)			SZUA-1519_1:c(2129..2890)	Ribosomal protein S12 methylthiotransferase RimO	K14441	K14441		K06168	K18707
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00005	K17220		sreB	sulfur reductase FeS subunit	COG0437@NOG,arCOG01500@arNOG	4fe-4S ferredoxin iron-sulfur binding domain protein			SZUA-1519_2:91..288	Menaquinone reductase, iron-sulfur cluster-binding subunit	K17220			K17220	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00006	K17221		sreC	sulfur reductase membrane anchor	082VU@bactNOG,COG3301@NOG	Polysulfide reductase, NrfD			SZUA-1519_2:303..1271	hypothetical protein	K17221				K17221
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00007	K17828	[EC:1.3.1.14]	pyrDI	dihydroorotate dehydrogenase (NAD+) catalytic subunit	02ERZ@aquNOG,05CS7@bactNOG,COG0167@NOG	Catalyzes the conversion of dihydroorotate to orotate			SZUA-1519_2:1356..2279	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	K17828	K17828		K17828	K17723
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00008									SZUA-1519_2:2282..3190	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00009	K03592		pmbA	PmbA protein	02ER3@aquNOG,05CMS@bactNOG,COG0312@NOG	Peptidase U62 modulator of DNA gyrase			SZUA-1519_2:3214..4545	Metalloprotease PmbA	K03592	K03592		K03592	K03592
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00010									SZUA-1519_2:4545..4835	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00011	K12984	[EC:2.4.1.-]	waaE, kdtX	(heptosyl)LPS beta-1,4-glucosyltransferase	02EW4@aquNOG,06WTF@bactNOG,COG0463@NOG	glycosyl transferase family 2			SZUA-1519_2:c(4832..5593)	SPBc2 prophage-derived glycosyltransferase SunS	K12984			K12984	K21366
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00012	K02405		fliA	RNA polymerase sigma factor for flagellar operon FliA	02FJY@aquNOG,05DN4@bactNOG,COG1191@NOG	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)			SZUA-1519_2:5666..6400	RNA polymerase sigma-D factor	K02405	K02405		K02405	K03090
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00013					02FRX@aquNOG,05XYE@bactNOG,125P1@NOG				SZUA-1519_2:6400..7356	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00014									SZUA-1519_2:7334..7918	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00015					02FS1@aquNOG,05KIH@bactNOG,1255V@NOG	outer membrane efflux protein			SZUA-1519_2:c(7915..9162)	Outer membrane protein OprM					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00016	K09815		znuA	zinc transport system substrate-binding protein	05DSE@bactNOG,0EQE9@cloNOG,0NEII@firmNOG,COG0803@NOG	periplasmic solute binding protein			SZUA-1519_2:9187..9996	High-affinity zinc uptake system binding-protein ZnuA	K09815	K09815		K01783	K19975
