#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_archaeon_SZUA-1535|SZUA-1535_00001	K19306	[EC:2.1.1.309]	BUD23	18S rRNA (guanine1575-N7)-methyltransferase					SZUA-1535_1:238..591	hypothetical protein	K19306	K19306			
Candidatus_archaeon_SZUA-1535|SZUA-1535_00002	K12960	[EC:3.5.4.31][EC:3.5.4.28]	mtaD	5-methylthioadenosine/S-adenosylhomocysteine deaminase	0KRC1@eurNOG,1CDXX@thermNOG,COG0402@NOG,arCOG00695@arNOG	Catalyzes the deamination of 5-methylthioadenosine and S-adenosyl-L-homocysteine into 5-methylthioinosine and S-inosyl-L- homocysteine, respectively. Is also able to deaminate adenosine (By similarity)			SZUA-1535_1:576..1868	5'-deoxyadenosine deaminase	K12960	K12960		K12960	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00003	K06927	[EC:6.3.1.14]	DPH6	diphthine-ammonia ligase	0KT1W@eurNOG,0WQEG@methNOG,COG2102@NOG,arCOG00035@arNOG	ATP-binding region			SZUA-1535_1:1880..2545	hypothetical protein	K06927	K06927		K01953	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00004									SZUA-1535_1:2570..2818	hypothetical protein					
Candidatus_archaeon_SZUA-1535|SZUA-1535_00005	K18237	[EC:5.3.1.29]	K18237	ribose 1,5-bisphosphate isomerase	02H3F@arcNOG,0KRTQ@eurNOG,COG1184@NOG,arCOG01124@arNOG	translation initiation factor, aIF-2BII family (EC 5.3.1.23)			SZUA-1535_1:c(2815..3630)	Ribose 1,5-bisphosphate isomerase	K18237	K18237		K18237	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00006	K00573	[EC:2.1.1.77]	E2.1.1.77, pcm	protein-L-isoaspartate(D-aspartate) O-methyltransferase	0FBGE@creNOG,COG2518@NOG,arCOG00976@arNOG	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins (By similarity)			SZUA-1535_1:3689..4339	Protein-L-isoaspartate O-methyltransferase	K00573	K00573		K00573	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00007	K09759	[EC:6.1.1.23]	aspC, aspS	nondiscriminating aspartyl-tRNA synthetase	0KRHA@eurNOG,1CEQ1@thermNOG,COG0017@NOG,arCOG00406@arNOG	Aspartyl-tRNA synthetase			SZUA-1535_1:c(4343..5650)	Aspartate--tRNA(Asp) ligase	K09759	K09759	K09759	K01876	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00008									SZUA-1535_1:c(5663..5929)	hypothetical protein					
Candidatus_archaeon_SZUA-1535|SZUA-1535_00009	K06921		K06921	uncharacterized protein	0KSFY@eurNOG,0WM7C@methaNOG,COG1672@NOG,arCOG03166@arNOG	Archaea bacterial proteins of unknown function			SZUA-1535_1:6070..6390	hypothetical protein	K06921	K06921		K06921	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00010									SZUA-1535_2:c(79..1872)	hypothetical protein					
Candidatus_archaeon_SZUA-1535|SZUA-1535_00011	K01007	[EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase	0KRR9@eurNOG,1CDWU@thermNOG,COG0574@NOG,arCOG01111@arNOG	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate (By similarity)			SZUA-1535_2:c(1916..2548)	Phosphoenolpyruvate synthase	K01007	K01007		K01007	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00012	K02316	[EC:2.7.7.-]	dnaG	DNA primase	02H3K@arcNOG,0KRQ2@eurNOG,COG0358@NOG,arCOG04281@arNOG	Toprim domain			SZUA-1535_3:811..1974	DNA primase DnaG	K02316	K02316		K02316	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00013									SZUA-1535_3:c(1955..2680)	hypothetical protein					
Candidatus_archaeon_SZUA-1535|SZUA-1535_00014	K06936		K06936	uncharacterized protein	COG1244@NOG,arCOG00990@arNOG,arCOG01360@arNOG	PUA domain containing protein			SZUA-1535_3:c(2684..3961)	hypothetical protein	K06936	K06936		K06936	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00015	K18779	[EC:2.4.2.48]	tgtA	7-cyano-7-deazaguanine tRNA-ribosyltransferase	0KREI@eurNOG,COG0343@NOG,COG1370@NOG,arCOG00989@arNOG	Exchanges the guanine residue with 7-cyano-7- deazaguanine (preQ0) at position 15 in the dihydrouridine loop (D- loop) of archaeal tRNAs (By similarity)			SZUA-1535_3:3998..5707	tRNA-guanine(15) transglycosylase	K18779	K18779		K18779	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00016									SZUA-1535_3:5743..5976	hypothetical protein					
Candidatus_archaeon_SZUA-1535|SZUA-1535_00017									SZUA-1535_3:c(5967..6320)	hypothetical protein					
Candidatus_archaeon_SZUA-1535|SZUA-1535_00018	K01975	[EC:3.1.4.58]	thpR	RNA 2',3'-cyclic 3'-phosphodiesterase	0KTUC@eurNOG,0WS2W@metNOG,COG1514@NOG,arCOG01736@arNOG	2'-5' RNA ligase			SZUA-1535_3:c(6317..6862)	RNA 2',3'-cyclic phosphodiesterase	K01975	K01975		K01975	
Candidatus_archaeon_SZUA-1535|SZUA-1535_00019	K02450		gspA	general secretion pathway protein A	065QU@bactNOG,0GBSK@delNOG,0HEB7@dproNOG,16TEZ@proNOG,COG3267@NOG	AAA ATPase			SZUA-1535_3:7372..8463	hypothetical protein	K02450			K02450	K12283
Candidatus_archaeon_SZUA-1535|SZUA-1535_00020									SZUA-1535_3:8491..8694	DNA-binding protein HMt-1.1					
Candidatus_archaeon_SZUA-1535|SZUA-1535_00021	K07466		RFA1, RPA1, rpa	replication factor A1	0KS23@eurNOG,1CEN0@thermNOG,COG1599@NOG,arCOG01510@arNOG	replication factor A			SZUA-1535_3:8703..9662	Replication factor A	K07466	K07466		K07466	
