#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1184|SZUA-1184_00001	K08307	[EC:4.2.2.-]	mltD, dniR	membrane-bound lytic murein transglycosylase D	05E9H@bactNOG,0QHZG@gproNOG,16Q6H@proNOG,COG0741@NOG	Lytic Murein transglycosylase			SZUA-1184_1:c(1414..3030)	Membrane-bound lytic murein transglycosylase D	K08307	K08307		K08307	K08309
Candidatus_bacterium_SZUA-1184|SZUA-1184_00002									SZUA-1184_1:c(3066..3560)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00003									SZUA-1184_2:1686..1883	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00005									SZUA-1184_2:2470..3069	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00006					084KD@bactNOG,0ZXJZ@NOG,1DIP1@verNOG,1DN89@verrNOG	Protein of unknown function (DUF971)			SZUA-1184_2:c(3063..3386)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00008	K00997	[EC:2.7.8.7]	acpS	holo-[acyl-carrier protein] synthase	05KJV@bactNOG,1DIKU@verNOG,1DN2P@verrNOG,COG0736@NOG	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein (By similarity)			SZUA-1184_3:c(535..900)	Holo-[acyl-carrier-protein] synthase	K00997	K00997		K00997	K00997
Candidatus_bacterium_SZUA-1184|SZUA-1184_00009	K07025		K07025	putative hydrolase of the HAD superfamily	0KSQK@eurNOG,COG1011@NOG,arCOG02291@arNOG	hydrolase			SZUA-1184_3:c(893..1576)	Phosphoglycolate phosphatase	K07025	K07025		K07025	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00010	K09134	[EC:2.5.1.63]	flA	adenosyl-fluoride synthase	05RQ9@bactNOG,0FKFM@cyaNOG,COG0457@NOG	repeat-containing protein			SZUA-1184_3:c(1607..2926)	Photosystem I assembly protein Ycf3	K09134			K09134	K20543
Candidatus_bacterium_SZUA-1184|SZUA-1184_00012									SZUA-1184_3:c(3034..3363)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00013	K01803	[EC:5.3.1.1]	TPI, tpiA	triosephosphate isomerase (TIM)	02EMB@aquNOG,05CP7@bactNOG,COG0149@NOG	triosephosphate isomerase (EC 5.3.1.1)			SZUA-1184_3:c(3364..4137)	Bifunctional PGK/TIM	K01803	K01803		K01803	K21910
Candidatus_bacterium_SZUA-1184|SZUA-1184_00014	K00927	[EC:2.7.2.3]	PGK, pgk	phosphoglycerate kinase	05BZA@bactNOG,COG0126@NOG	Phosphoglycerate kinase			SZUA-1184_3:c(4137..5324)	Bifunctional PGK/TIM	K00927	K00927		K00927	K15330
Candidatus_bacterium_SZUA-1184|SZUA-1184_00015	K00764	[EC:2.4.2.14]	purF, PPAT	amidophosphoribosyltransferase	07Y1E@bactNOG,09EFN@bctoNOG,COG1040@NOG	Competence protein			SZUA-1184_3:c(5317..5718)	Amidophosphoribosyltransferase	K00764			K00764	K02242
Candidatus_bacterium_SZUA-1184|SZUA-1184_00016	K01042	[EC:2.9.1.1]	selA	L-seryl-tRNA(Ser) seleniumtransferase	02EVP@aquNOG,05C1Y@bactNOG,COG1921@NOG	Converts seryl-tRNA(Sec) to selenocysteinyl-tRNA(Sec) required for selenoprotein biosynthesis (By similarity)			SZUA-1184_4:c(755..2170)	L-seryl-tRNA(Sec) selenium transferase	K01042	K01042		K01042	K01042
Candidatus_bacterium_SZUA-1184|SZUA-1184_00017					07WSJ@bactNOG,0ZVZD@NOG,170UK@proNOG	Major Facilitator superfamily			SZUA-1184_4:c(2170..3336)	putative sulfoacetate transporter SauU					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00018	K02884		RP-L19, MRPL19, rplS	large subunit ribosomal protein L19	04UUZ@bacNOG,08YY1@bactNOG,0NJ7M@firmNOG,COG0335@NOG	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)			SZUA-1184_4:c(3499..3840)	50S ribosomal protein L19	K02884	K02884	K02884	K02884	K02884
Candidatus_bacterium_SZUA-1184|SZUA-1184_00019	K00554	[EC:2.1.1.228]	trmD	tRNA (guanine37-N1)-methyltransferase	04RGM@bacNOG,05D6X@bactNOG,0NE14@firmNOG,COG0336@NOG	Specifically methylates guanosine-37 in various tRNAs (By similarity)			SZUA-1184_4:c(3843..4529)	tRNA (guanine-N(1)-)-methyltransferase	K00554	K00554		K00554	K00554
Candidatus_bacterium_SZUA-1184|SZUA-1184_00020	K02860		rimM	16S rRNA processing protein RimM	04UTR@bacNOG,07Z8R@bactNOG,0NJCI@firmNOG,COG0806@NOG	An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes (By similarity)			SZUA-1184_4:c(4562..5017)	Ribosome maturation factor RimM	K02860			K02860	K02860
Candidatus_bacterium_SZUA-1184|SZUA-1184_00021	K06960		K06960	uncharacterized protein	04WNK@bacNOG,05VB6@bactNOG,0NNG4@firmNOG,COG1837@NOG	UPF0109 protein			SZUA-1184_4:c(5069..5302)	hypothetical protein	K06960	K06960	K06960	K06960	K06960
Candidatus_bacterium_SZUA-1184|SZUA-1184_00022	K02959		RP-S16, MRPS16, rpsP	small subunit ribosomal protein S16	05K5M@bactNOG,0CZXG@chlNOG,COG0228@NOG	30S ribosomal protein S16			SZUA-1184_4:c(5340..6383)	30S ribosomal protein S16	K02959	K02959		K02959	K02959
Candidatus_bacterium_SZUA-1184|SZUA-1184_00023	K03106	[EC:3.6.5.4]	SRP54, ffh	signal recognition particle subunit SRP54	05CB9@bactNOG,0ENTJ@cloNOG,0NE07@firmNOG,COG0541@NOG	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY (By similarity)			SZUA-1184_4:c(6406..7728)	Signal recognition particle protein	K03106	K03106		K03106	K03106
Candidatus_bacterium_SZUA-1184|SZUA-1184_00024					05ZMS@bactNOG,09HN9@bctoNOG,0FXZU@cytNOG,12715@NOG	heavy metal transport detoxification protein			SZUA-1184_4:c(7868..8209)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00025									SZUA-1184_4:c(8239..9066)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00026									SZUA-1184_4:c(9393..9743)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00027					05N7M@bactNOG,0QQMY@gproNOG,11I3F@NOG,17GRB@proNOG	Isochorismatase			SZUA-1184_4:c(9786..10325)	hypothetical protein					
