#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_sp_SZUA-1472|SZUA-1472_00001					0FCVX@creNOG,COG1522@NOG,arCOG01117@arNOG	asnC family transcriptional regulator			SZUA-1472_1:c(263..499)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00002	K07558	[EC:2.7.7.72]	K07558, cca	tRNA nucleotidyltransferase (CCA-adding enzyme)	COG1746@NOG,arCOG04249@arNOG	Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate (By similarity)			SZUA-1472_1:c(589..1881)	CCA-adding enzyme	K07558	K07558		K07558	
Candidatus_sp_SZUA-1472|SZUA-1472_00003	K01507	[EC:3.6.1.1]	ppa	inorganic pyrophosphatase	0FBTP@creNOG,COG0221@NOG,arCOG01711@arNOG	pyrophosphate phosphohydrolase			SZUA-1472_1:c(1961..2476)	Inorganic pyrophosphatase	K01507	K01507		K01507	
Candidatus_sp_SZUA-1472|SZUA-1472_00004									SZUA-1472_2:303..1550	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00005									SZUA-1472_2:c(1592..1786)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00006	K00721	[EC:2.4.1.83]	DPM1	dolichol-phosphate mannosyltransferase	COG2246@NOG,arCOG00895@arNOG,arCOG02228@arNOG	GtrA family			SZUA-1472_2:1876..2940	Glycosyltransferase AglE	K00721	K00721	K00721	K00721	
Candidatus_sp_SZUA-1472|SZUA-1472_00007					0KUVV@eurNOG,COG5650@NOG,arCOG03701@arNOG	Inherit from arCOG: membrane			SZUA-1472_2:2913..4118	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00008	K17592		SACS	sacsin	0FF9U@creNOG,COG1591@NOG,arCOG00919@arNOG	Inherit from arCOG: Holliday junction resolvase			SZUA-1472_3:c(289..2988)	hypothetical protein	K17592		K17592		
Candidatus_sp_SZUA-1472|SZUA-1472_00009	K04566	[EC:6.1.1.6]	lysK	lysyl-tRNA synthetase, class I	COG1384@NOG,arCOG00485@arNOG	lysyl-tRNA synthetase (EC 6.1.1.6)			SZUA-1472_4:15..794	Lysine--tRNA ligase	K04566	K04566		K04566	
Candidatus_sp_SZUA-1472|SZUA-1472_00010									SZUA-1472_4:879..2399	Flavin-dependent thymidylate synthase					
Candidatus_sp_SZUA-1472|SZUA-1472_00011	K01872	[EC:6.1.1.7]	AARS, alaS	alanyl-tRNA synthetase	0KRG7@eurNOG,COG0013@NOG,arCOG01255@arNOG	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)			SZUA-1472_4:c(2381..4993)	Alanine--tRNA ligase	K01872	K01872		K01872	
Candidatus_sp_SZUA-1472|SZUA-1472_00012	K01079	[EC:3.1.3.3]	serB, PSPH	phosphoserine phosphatase	COG1340@NOG,arCOG01159@arNOG	phosphoserine phosphatase			SZUA-1472_4:c(5096..5965)	Chromosome partition protein Smc	K01079			K01079	
Candidatus_sp_SZUA-1472|SZUA-1472_00013	K02869		RP-L12, rpl12	large subunit ribosomal protein L12	02I6R@arcNOG,0KUDB@eurNOG,COG2058@NOG,arCOG04287@arNOG	Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors (By similarity)			SZUA-1472_4:c(6002..6322)	50S ribosomal protein L12	K02869	K02869		K02869	
Candidatus_sp_SZUA-1472|SZUA-1472_00014	K02316	[EC:2.7.7.-]	dnaG	DNA primase	0KRQ2@eurNOG,1CEGV@thermNOG,COG0358@NOG,arCOG04281@arNOG	DNA primase			SZUA-1472_4:c(6499..7683)	DNA primase DnaG	K02316	K02316		K02316	
Candidatus_sp_SZUA-1472|SZUA-1472_00015					0KXKQ@eurNOG,0WSQI@metNOG,0ZEY3@NOG,arCOG06576@arNOG				SZUA-1472_5:c(357..698)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00016									SZUA-1472_5:c(695..997)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00017	K07407	[EC:3.2.1.22]	E3.2.1.22B, galA, rafA	alpha-galactosidase					SZUA-1472_5:c(1035..1202)	hypothetical protein	K07407	K07407			
Candidatus_sp_SZUA-1472|SZUA-1472_00018					0KWTU@eurNOG,0WNZN@methaNOG,0YRFM@NOG,arCOG06926@arNOG				SZUA-1472_5:c(1177..1923)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00019									SZUA-1472_5:c(2262..2825)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00020					06YEF@bactNOG,0F2RV@cloNOG,0NYB6@firmNOG,121Z7@NOG				SZUA-1472_5:c(2828..3820)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00021	K21029	[EC:2.7.7.80]	moeB	molybdopterin-synthase adenylyltransferase	0KS4R@eurNOG,1CCUH@theNOG,COG0476@NOG,arCOG01676@arNOG	MoeZ/MoeB domain			SZUA-1472_6:c(787..1515)	SAMP-activating enzyme E1	K21029	K21029		K03635	
Candidatus_sp_SZUA-1472|SZUA-1472_00022	K13525		VCP, CDC48	transitional endoplasmic reticulum ATPase	COG0464@NOG,arCOG01308@arNOG	AAA family ATPase, CDC48 subfamily			SZUA-1472_6:c(1539..3944)	VCP-like ATPase	K13525	K13525	K13525	K13525	
Candidatus_sp_SZUA-1472|SZUA-1472_00023					COG1873@NOG,arCOG02155@arNOG	PRC-barrel domain protein			SZUA-1472_6:4023..4286	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00024	K03236		EIF1A	translation initiation factor 1A	0KTNN@eurNOG,0WQYV@methNOG,COG0361@NOG,arCOG01179@arNOG	Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits (By similarity)			SZUA-1472_7:c(553..855)	Translation initiation factor 1A	K03236	K03236		K03236	
Candidatus_sp_SZUA-1472|SZUA-1472_00025									SZUA-1472_7:c(912..1088)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00026	K07022		K07022	uncharacterized protein	0KSTS@eurNOG,COG2248@NOG,arCOG00969@arNOG	UPF0282 protein			SZUA-1472_7:c(1497..2357)	hypothetical protein	K07022	K07022		K07022	
Candidatus_sp_SZUA-1472|SZUA-1472_00027	K02953		RP-S13e, RPS13	small subunit ribosomal protein S13e	COG0184@NOG,arCOG04185@arNOG	30S ribosomal protein S15 S13e			SZUA-1472_7:2393..2791	30S ribosomal protein S15	K02953	K02953		K02956	
Candidatus_sp_SZUA-1472|SZUA-1472_00028	K07463		K07463	archaea-specific RecJ-like exonuclease	0KRHE@eurNOG,COG0608@NOG,arCOG00427@arNOG	phosphoesterase RecJ domain protein			SZUA-1472_7:2788..4188	hypothetical protein	K07463	K07463		K07462	
Candidatus_sp_SZUA-1472|SZUA-1472_00029									SZUA-1472_7:4300..4470	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00030	K06013	[EC:3.4.24.84]	STE24	STE24 endopeptidase	0KVCH@eurNOG,1CF6V@thermNOG,COG0501@NOG,arCOG01334@arNOG	Peptidase family M48			SZUA-1472_7:4547..5707	Protease HtpX	K06013	K06013		K06013	
Candidatus_sp_SZUA-1472|SZUA-1472_00031	K02886		RP-L2, MRPL2, rplB	large subunit ribosomal protein L2	COG0090@NOG,arCOG04067@arNOG	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity			SZUA-1472_8:c(378..1139)	50S ribosomal protein L2	K02886	K02886		K02886	
Candidatus_sp_SZUA-1472|SZUA-1472_00032	K02892		RP-L23, MRPL23, rplW	large subunit ribosomal protein L23	0KUHV@eurNOG,COG0089@NOG,arCOG04072@arNOG	Binds to 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome (By similarity)			SZUA-1472_8:c(1141..1401)	50S ribosomal protein L23	K02892	K02892		K02892	
Candidatus_sp_SZUA-1472|SZUA-1472_00033	K02930		RP-L4e, RPL4	large subunit ribosomal protein L4e	COG0088@NOG,arCOG04071@arNOG	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)			SZUA-1472_8:c(1487..2317)	50S ribosomal protein L4	K02930	K02930		K02930	
Candidatus_sp_SZUA-1472|SZUA-1472_00034	K01869	[EC:6.1.1.4]	LARS, leuS	leucyl-tRNA synthetase	0FAWK@creNOG,COG0495@NOG,arCOG00809@arNOG	Leucyl-tRNA synthetase			SZUA-1472_8:c(2612..5482)	Leucine--tRNA ligase	K01869	K01869		K01869	
Candidatus_sp_SZUA-1472|SZUA-1472_00035	K02984		RP-S3Ae, RPS3A	small subunit ribosomal protein S3Ae	COG1890@NOG,arCOG04186@arNOG	30S ribosomal protein S3AE			SZUA-1472_8:5814..6422	30S ribosomal protein S3Ae	K02984	K02984		K02984	
Candidatus_sp_SZUA-1472|SZUA-1472_00036									SZUA-1472_8:6428..6847	tRNA (cytidine(34)-2'-O)-methyltransferase					
Candidatus_sp_SZUA-1472|SZUA-1472_00037									SZUA-1472_9:c(505..669)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00038	K02533	[EC:2.1.1.-]	lasT	tRNA/rRNA methyltransferase	0KRWG@eurNOG,COG0565@NOG,arCOG01018@arNOG	RNA methyltransferase, TrmH family, group 1			SZUA-1472_9:c(683..1396)	tRNA (cytidine-2'-O-)-methyltransferase TrmJ	K02533			K02533	
Candidatus_sp_SZUA-1472|SZUA-1472_00039	K03799	[EC:3.4.24.-]	htpX	heat shock protein HtpX	05D0M@bactNOG,COG0501@NOG	Protease HtpX homolog			SZUA-1472_9:1447..2313	Protease HtpX	K03799	K03799		K03799	K07387
Candidatus_sp_SZUA-1472|SZUA-1472_00042	K00610		pyrI	aspartate carbamoyltransferase regulatory subunit	0KTGC@eurNOG,COG1781@NOG,arCOG04229@arNOG	Involved in allosteric regulation of aspartate carbamoyltransferase (By similarity)			SZUA-1472_10:5..451	Aspartate carbamoyltransferase regulatory chain	K00610	K00610	K00610	K00610	
Candidatus_sp_SZUA-1472|SZUA-1472_00043									SZUA-1472_10:c(1371..1673)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00044	K07076		K07076	uncharacterized protein	02HP3@arcNOG,0KVGJ@eurNOG,COG1708@NOG,arCOG02105@arNOG	Nucleotidyltransferase domain			SZUA-1472_11:c(114..479)	hypothetical protein	K07076		K07076	K07076	
Candidatus_sp_SZUA-1472|SZUA-1472_00045	K01892	[EC:6.1.1.21]	HARS, hisS	histidyl-tRNA synthetase	COG0124@NOG,arCOG00404@arNOG	histidyl-tRNA synthetase (EC 6.1.1.21)			SZUA-1472_11:c(1492..2784)	Histidine--tRNA ligase	K01892	K01892	K01892	K01892	
Candidatus_sp_SZUA-1472|SZUA-1472_00046	K00797	[EC:2.5.1.16]	speE, SRM	spermidine synthase	COG0421@NOG,arCOG00050@arNOG	Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)			SZUA-1472_11:c(2870..3682)	Polyamine aminopropyltransferase 1	K00797	K00797		K00797	
Candidatus_sp_SZUA-1472|SZUA-1472_00047	K04488		iscU, nifU	nitrogen fixation protein NifU and related proteins	07YH3@bactNOG,1CGU9@therNOG,COG0822@NOG	SUF system FeS assembly protein, NifU family			SZUA-1472_11:c(3918..4283)	Iron-sulfur cluster assembly scaffold protein IscU 2	K04488	K04488		K04488	K13819
Candidatus_sp_SZUA-1472|SZUA-1472_00048	K11717	[EC:2.8.1.7][EC:4.4.1.16]	sufS	cysteine desulfurase / selenocysteine lyase	0FBFP@creNOG,COG0520@NOG,arCOG00065@arNOG	Cysteine desulfurase			SZUA-1472_11:c(4287..5483)	Cysteine desulfurase	K11717	K11717		K11717	
Candidatus_sp_SZUA-1472|SZUA-1472_00049	K09015		sufD	Fe-S cluster assembly protein SufD					SZUA-1472_11:c(5548..6234)	hypothetical protein	K09015	K09015			
Candidatus_sp_SZUA-1472|SZUA-1472_00050	K09014		sufB	Fe-S cluster assembly protein SufB	05DIW@bactNOG,0D1WZ@chloNOG,COG0719@NOG	FeS assembly protein SufB			SZUA-1472_11:c(6218..7642)	hypothetical protein	K09014	K09014		K07033	K09015
Candidatus_sp_SZUA-1472|SZUA-1472_00051	K09013		sufC	Fe-S cluster assembly ATP-binding protein	0KSME@eurNOG,COG0396@NOG,arCOG04236@arNOG	ABC transporter			SZUA-1472_11:c(7629..8330)	putative branched-chain amino acid transport ATP-binding protein LivG	K09013	K09013		K09013	
Candidatus_sp_SZUA-1472|SZUA-1472_00052	K02991		RP-S6e, RPS6	small subunit ribosomal protein S6e	COG2125@NOG,arCOG01946@arNOG	30S ribosomal protein S6E			SZUA-1472_11:8742..9134	30S ribosomal protein S6e	K02991	K02991		K02991	
Candidatus_sp_SZUA-1472|SZUA-1472_00053	K03785	[EC:4.2.1.10]	aroD	3-dehydroquinate dehydratase I	0KSXR@eurNOG,COG0710@NOG,arCOG02097@arNOG	Type I DHQase			SZUA-1472_11:c(9514..10170)	3-dehydroquinate dehydratase	K03785	K03785	K03785	K03785	
Candidatus_sp_SZUA-1472|SZUA-1472_00054									SZUA-1472_11:10571..11062	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00055	K03243		EIF5B	translation initiation factor 5B	COG0532@NOG,arCOG01560@arNOG	Function in general translation initiation by promoting the binding of the formylmethionine-tRNA to ribosomes. Seems to function along with eIF-2 (By similarity)			SZUA-1472_11:c(11066..12841)	putative translation initiation factor IF-2	K03243	K03243		K03243	
Candidatus_sp_SZUA-1472|SZUA-1472_00056									SZUA-1472_11:c(12828..13424)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00057	K00940	[EC:2.7.4.6]	ndk, NME	nucleoside-diphosphate kinase	0FC34@creNOG,COG0105@NOG,arCOG04313@arNOG	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate (By similarity)			SZUA-1472_11:c(13448..14041)	Nucleoside diphosphate kinase	K00940	K00940	K00940	K00940	
Candidatus_sp_SZUA-1472|SZUA-1472_00058	K02896		RP-L24e, RPL24	large subunit ribosomal protein L24e	0FCWC@creNOG,COG2075@NOG,arCOG01950@arNOG	Binds to the 23S rRNA (By similarity)			SZUA-1472_11:c(14210..14410)	50S ribosomal protein L24e	K02896	K02896	K02896	K02896	
Candidatus_sp_SZUA-1472|SZUA-1472_00059	K02979		RP-S28e, RPS28	small subunit ribosomal protein S28e	COG2053@NOG,arCOG04314@arNOG	30S ribosomal protein S28e			SZUA-1472_11:c(14412..14705)	30S ribosomal protein S28e	K02979	K02979		K02979	
Candidatus_sp_SZUA-1472|SZUA-1472_00060									SZUA-1472_11:c(15034..15147)	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00061									SZUA-1472_12:17..352	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00062									SZUA-1472_12:336..458	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00063									SZUA-1472_12:462..869	hypothetical protein					
Candidatus_sp_SZUA-1472|SZUA-1472_00064	K05982	[EC:3.1.21.7]	E3.1.21.7, nfi	deoxyribonuclease V	0FC7U@creNOG,COG1515@NOG,arCOG00929@arNOG	Selectively cleaves double-stranded DNA at the second phosphodiester bond 3' to a deoxyinosine leaving behind the intact lesion on the nicked DNA. Acts in DNA repair (By similarity)			SZUA-1472_12:1037..1978	Endonuclease V	K05982	K05982		K05982	
