#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1403|SZUA-1403_00001	K02120		ATPVD, ntpD, atpD	V/A-type H+/Na+-transporting ATPase subunit D	05M56@bactNOG,0EQND@cloNOG,0NFD9@firmNOG,COG1394@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1403_1:c(221..877)	V-type sodium ATPase subunit D	K02120	K02120	K02120	K02120	K02149
Candidatus_bacterium_SZUA-1403|SZUA-1403_00002	K00133	[EC:1.2.1.11]	asd	aspartate-semialdehyde dehydrogenase	0KRV9@eurNOG,0WK5K@methaNOG,COG0136@NOG,arCOG00494@arNOG	dehydrogenase (EC 1.2.1.11)			SZUA-1403_1:c(956..2020)	Aspartate-semialdehyde dehydrogenase	K00133	K00133		K00133	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00003									SZUA-1403_1:c(2037..2585)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00004	K00052	[EC:1.1.1.85]	leuB, IMDH	3-isopropylmalate dehydrogenase	150XK@perNOG,COG0473@NOG,KOG0786@euNOG	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate (By similarity)			SZUA-1403_2:c(96..1175)	3-isopropylmalate dehydrogenase	K00052	K00052		K00052	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00005	K02501	[EC:2.4.2.-]	hisH	glutamine amidotransferase	08UJE@bactNOG,09DA9@bctoNOG,COG0118@NOG	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)			SZUA-1403_2:c(1201..1818)	Imidazole glycerol phosphate synthase subunit HisH	K02501	K02501		K02501	K02501
Candidatus_bacterium_SZUA-1403|SZUA-1403_00006	K03550	[EC:3.6.4.12]	ruvA	holliday junction DNA helicase RuvA	04UXF@bacNOG,05KA4@bactNOG,0NJGM@firmNOG,COG0632@NOG	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)			SZUA-1403_2:c(1831..2457)	Holliday junction ATP-dependent DNA helicase RuvA	K03550	K03550		K03550	K03550
Candidatus_bacterium_SZUA-1403|SZUA-1403_00007	K03555		mutS	DNA mismatch repair protein MutS	05D86@bactNOG,0ENW3@cloNOG,0NDHX@firmNOG,COG0249@NOG	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)			SZUA-1403_2:c(2515..3711)	DNA mismatch repair protein MutS	K03555	K03555		K03555	K03555
Candidatus_bacterium_SZUA-1403|SZUA-1403_00008	K01919	[EC:6.3.2.2]	gshA	glutamate--cysteine ligase	01Q80@aproNOG,05D1K@bactNOG,16PXS@proNOG,COG3572@NOG	Glutamate--cysteine ligase			SZUA-1403_2:c(3781..5172)	Glutamate--cysteine ligase EgtA	K01919	K01919		K01919	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00009									SZUA-1403_2:5617..7056	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00010									SZUA-1403_2:c(7331..7546)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00011	K09022	[EC:3.5.99.10]	ridA, tdcF, RIDA	2-iminobutanoate/2-iminopropanoate deaminase	05KME@bactNOG,09F8Q@bctoNOG,0PAF4@flaNOG,COG0251@NOG	endoribonuclease L-PSP			SZUA-1403_2:7692..8078	2-iminobutanoate/2-iminopropanoate deaminase	K09022	K09022		K09022	K09022
Candidatus_bacterium_SZUA-1403|SZUA-1403_00012	K00384	[EC:1.8.1.9]	trxB, TRR	thioredoxin reductase (NADPH)	0FB2G@creNOG,COG0492@NOG,arCOG01296@arNOG	Thioredoxin reductase			SZUA-1403_2:8121..9053	Thioredoxin reductase	K00384	K00384		K00384	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00013	K01159	[EC:3.1.22.4]	ruvC	crossover junction endodeoxyribonuclease RuvC	05NHU@bactNOG,1CGK9@therNOG,COG0817@NOG	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group (By similarity)			SZUA-1403_2:9062..9541	Crossover junction endodeoxyribonuclease RuvC	K01159	K01159		K01159	K01159
Candidatus_bacterium_SZUA-1403|SZUA-1403_00014	K01704	[EC:4.2.1.33][EC:4.2.1.35]	leuD, IPMI-S	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit	01R85@aproNOG,05MQS@bactNOG,16QQT@proNOG,COG0066@NOG	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)			SZUA-1403_2:c(9550..10188)	3-isopropylmalate dehydratase small subunit	K01704	K01704		K01704	K20453
Candidatus_bacterium_SZUA-1403|SZUA-1403_00015									SZUA-1403_2:c(10225..10638)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00016	K15634	[EC:5.4.2.12]	gpmB	probable phosphoglycerate mutase	05CVJ@bactNOG,0ET6C@cloNOG,0NJ8Y@firmNOG,COG0406@NOG	Phosphoglycerate mutase			SZUA-1403_2:c(10674..11228)	Phosphoserine phosphatase 1	K15634	K15634		K02226	K20581
Candidatus_bacterium_SZUA-1403|SZUA-1403_00017	K11392	[EC:2.1.1.178]	rsmF	16S rRNA (cytosine1407-C5)-methyltransferase	05CYJ@bactNOG,0QKRA@gproNOG,16PGY@proNOG,COG0144@NOG,COG3270@NOG	Specifically methylates the cytosine at position 1407 (m5C1407) of 16S rRNA (By similarity)			SZUA-1403_3:102..1640	Ribosomal RNA small subunit methyltransferase F	K11392	K11392	K11392	K03500	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00018	K02835		prfA, MTRF1, MRF1	peptide chain release factor 1	05C8K@bactNOG,0QI9Q@gproNOG,16PM9@proNOG,COG0216@NOG	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)			SZUA-1403_3:c(1677..2738)	Peptide chain release factor 1	K02835	K02835		K02835	K02835
Candidatus_bacterium_SZUA-1403|SZUA-1403_00019					08REI@bactNOG,0FQVB@cyaNOG,11HIJ@NOG				SZUA-1403_3:c(2783..4336)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00020	K12574	[EC:3.1.-.-]	rnj	ribonuclease J	05CN5@bactNOG,0EP8A@cloNOG,0NDNW@firmNOG,COG0595@NOG	metallo-beta-lactamase			SZUA-1403_3:4889..7066	Ribonuclease J 1	K12574	K12574		K12574	K12574
Candidatus_bacterium_SZUA-1403|SZUA-1403_00021					08ZHS@bactNOG,1CGH1@therNOG,COG4902@NOG	Uncharacterized protein domain (DUF2202)			SZUA-1403_3:c(7149..8162)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00022	K15633	[EC:5.4.2.12]	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	05CJI@bactNOG,0EPQR@cloNOG,0NE4S@firmNOG,COG0696@NOG	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)			SZUA-1403_3:c(8261..9745)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	K15633		K15633	K15633
Candidatus_bacterium_SZUA-1403|SZUA-1403_00023									SZUA-1403_3:c(9920..10726)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00024									SZUA-1403_3:c(10791..11111)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00025	K01866	[EC:6.1.1.1]	YARS, tyrS	tyrosyl-tRNA synthetase	05DA0@bactNOG,0ND99@firmNOG,0X228@negNOG,COG0162@NOG	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)			SZUA-1403_3:c(11178..12386)	Tyrosine--tRNA ligase	K01866	K01866		K01866	K01866
Candidatus_bacterium_SZUA-1403|SZUA-1403_00026					08KRR@bactNOG,0EQMJ@cloNOG,0NF1M@firmNOG,COG4880@NOG	Secreted protein			SZUA-1403_3:12512..15241	Cell surface glycoprotein 2					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00027									SZUA-1403_3:15286..16062	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00028									SZUA-1403_3:c(16100..16513)	Ribonuclease P protein component					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00029	K02914		RP-L34, MRPL34, rpmH	large subunit ribosomal protein L34					SZUA-1403_3:c(16543..16671)	50S ribosomal protein L34	K02914	K02914			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00033	K01933	[EC:6.3.3.1]	purM	phosphoribosylformylglycinamidine cyclo-ligase	05CXB@bactNOG,0NE6E@firmNOG,0X27N@negNOG,COG0150@NOG	Phosphoribosyl-aminoimidazole synthetase			SZUA-1403_3:c(17079..18221)	Phosphoribosylformylglycinamidine cyclo-ligase	K01933	K01933		K01933	K01933
Candidatus_bacterium_SZUA-1403|SZUA-1403_00034									SZUA-1403_3:c(18650..18901)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00035									SZUA-1403_4:c(280..420)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00036	K03797	[EC:3.4.21.102]	E3.4.21.102, prc, ctpA	carboxyl-terminal processing protease	05CN1@bactNOG,0ENW5@cloNOG,0NDR0@firmNOG,COG0793@NOG	Carboxyl-terminal protease			SZUA-1403_4:c(564..1868)	putative CtpA-like serine protease	K03797	K03797		K03797	K03797
Candidatus_bacterium_SZUA-1403|SZUA-1403_00037	K00951	[EC:2.7.6.5]	relA	GTP pyrophosphokinase	05CWR@bactNOG,0GAST@delNOG,0HBVK@dproNOG,16PSY@proNOG,COG0317@NOG	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)			SZUA-1403_4:c(1898..3631)	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	K00951	K00951		K00951	K01139
Candidatus_bacterium_SZUA-1403|SZUA-1403_00038	K01814	[EC:5.3.1.16]	hisA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	05CJV@bactNOG,0I8A6@eryNOG,0NH6Y@firmNOG,COG0106@NOG	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase			SZUA-1403_4:c(3606..4379)	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	K01814	K01814	K01814	K01814	K01814
Candidatus_bacterium_SZUA-1403|SZUA-1403_00039	K00609	[EC:2.1.3.2]	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit	01RNZ@aproNOG,05CXT@bactNOG,16SNS@proNOG,COG0540@NOG	Aspartate transcarbamylase			SZUA-1403_4:c(4401..4877)	Aspartate carbamoyltransferase	K00609	K00609		K00609	K00609
Candidatus_bacterium_SZUA-1403|SZUA-1403_00040									SZUA-1403_5:490..747	hypothetical protein					
