#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00001	K03147	[EC:4.1.99.17]	thiC	phosphomethylpyrimidine synthase	05CBF@bactNOG,0QIKG@gproNOG,16Q2G@proNOG,COG0422@NOG	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction (By similarity)			SZUA-1071_1:c(255..2120)	Phosphomethylpyrimidine synthase	K03147	K03147	K03147	K03147	K03147
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00002	K21147	[EC:2.7.7.80][EC:2.7.7.-][EC:2.8.1.11][EC:2.8.1.-]	moeZR, moeBR	sulfur-carrier protein adenylyltransferase/sulfurtransferase	082J7@bactNOG,0BENB@bproNOG,17G14@proNOG,COG0607@NOG	Rhodanese domain protein			SZUA-1071_1:2256..2576	Sulfurtransferase	K21147				K21147
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00003	K13288	[EC:3.1.-.-]	orn, REX2, REXO2	oligoribonuclease	08RBP@bactNOG,0QPV8@gproNOG,177TF@proNOG,COG1949@NOG	3'-to-5' exoribonuclease specific for small oligoribonucleotides (By similarity)			SZUA-1071_2:c(67..612)	Oligoribonuclease	K13288	K13288	K13288	K13288	K13288
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00004	K03722	[EC:3.6.4.12]	dinG	ATP-dependent DNA helicase DinG	05DVT@bactNOG,0QKHK@gproNOG,16RMK@proNOG,COG1199@NOG	Helicase			SZUA-1071_3:25..1584	putative ATP-dependent helicase DinG	K03722	K03722		K03722	K03722
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00005	K14742		tsaB	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	072GX@bactNOG,0QIWA@gproNOG,170AC@proNOG,COG1214@NOG	Peptidase M22 Glycoprotease			SZUA-1071_3:1581..2270	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	K14742	K14742		K01409	K14742
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00006	K07566	[EC:2.7.7.87]	tsaC, rimN, SUA5	L-threonylcarbamoyladenylate synthase	07RTD@bactNOG,0QI7X@gproNOG,16US9@proNOG,COG0009@NOG	SUA5 YciO YrdC YwlC family protein			SZUA-1071_3:2267..2902	putative protein YciO	K07566				K07566
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00007	K06402	[EC:3.4.24.-]	spoIVFB	stage IV sporulation protein FB	08Z4T@bactNOG,0GDVG@delNOG,0HH3Z@dproNOG,179N3@proNOG,COG1994@NOG	Peptidase M50			SZUA-1071_3:2902..3561	hypothetical protein	K06402				K06402
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00008	K09011	[EC:2.3.1.182]	cimA	(R)-citramalate synthase	05WVA@bactNOG,0QHQH@gproNOG,17680@proNOG,COG0119@NOG	(R)-citramalate synthase			SZUA-1071_4:36..443	(R)-citramalate synthase	K09011	K09011		K09011	K21934
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00009	K00052	[EC:1.1.1.85]	leuB, IMDH	3-isopropylmalate dehydrogenase	05C0C@bactNOG,0QHS3@gproNOG,16PC5@proNOG,COG0473@NOG	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate (By similarity)			SZUA-1071_4:c(610..1716)	3-isopropylmalate dehydrogenase	K00052	K00052		K00052	K17753
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00010	K06942		ychF	ribosome-binding ATPase	05C3G@bactNOG,0QJAI@gproNOG,16QF1@proNOG,COG0012@NOG	GTP-dependent nucleic acid-binding protein engD			SZUA-1071_4:1872..2963	Ribosome-binding ATPase YchF	K06942	K06942	K19788	K06942	K19788
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00011	K03673		dsbA	thiol:disulfide interchange protein DsbA	08Z33@bactNOG,0QS8R@gproNOG,17C8A@proNOG,COG0526@NOG	Thiol disulfide Interchange Protein			SZUA-1071_5:c(94..729)	Thiol:disulfide interchange protein DsbA	K03673	K03673		K03673	K13996
Cycloclasticus_sp_SZUA-1071|SZUA-1071_00012	K02497		hemX	HemX protein	05CRE@bactNOG,0R8DM@gproNOG,16UMS@proNOG,COG0755@NOG	Cytochrome c-type biogenesis protein CcsB			SZUA-1071_5:c(755..1591)	Cytochrome c biogenesis protein CcsA	K02497				K02497
