#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00001	K00288	[EC:1.5.1.5][EC:3.5.4.9][EC:6.3.4.3]	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase	05CKU@bactNOG,0D1VH@chloNOG,COG2759@NOG	Formate--tetrahydrofolate ligase (EC 6.3.4.3)			SZUA-1494_1:5..1879	Formate--tetrahydrofolate ligase	K00288	K00288		K00288	K01938
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00002	K06013	[EC:3.4.24.84]	STE24	STE24 endopeptidase	05C2Y@bactNOG,0D2DZ@chloNOG,COG0501@NOG	Peptidase M48			SZUA-1494_2:c(162..1328)	Protease HtpX	K06013	K06013		K06013	K07387
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00003					04VU7@bacNOG,05EWC@bactNOG,0NM55@firmNOG,COG1683@NOG	Protein of unknown function (DUF523)			SZUA-1494_2:c(1312..1785)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00004									SZUA-1494_2:c(1822..2091)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00005	K05606	[EC:5.1.99.1]	MCEE, epi	methylmalonyl-CoA/ethylmalonyl-CoA epimerase	08ZVT@bactNOG,0ETA5@cloNOG,0NJ9V@firmNOG,COG0346@NOG	methylmalonyl-CoA epimerase			SZUA-1494_3:c(56..448)	hypothetical protein	K05606	K05606	K05606	K01759	K21265
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00006	K01848	[EC:5.4.99.2]	E5.4.99.2A, mcmA1	methylmalonyl-CoA mutase, N-terminal domain	05D5P@bactNOG,0EP81@cloNOG,0NDNJ@firmNOG,COG1884@NOG	Methylmalonyl-CoA mutase			SZUA-1494_3:c(474..2018)	Methylmalonyl-CoA mutase	K01848	K01848		K01848	K20906
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00007	K12132	[EC:2.7.11.1]	prkC, stkP	eukaryotic-like serine/threonine-protein kinase	05CNE@bactNOG,COG0515@NOG,COG1520@NOG	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane (By similarity)			SZUA-1494_4:53..802	putative protein YxaL	K12132			K12132	K20853
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00008	K20074	[EC:3.1.3.16]	prpC, phpP	PPM family protein phosphatase	08ZF3@bactNOG,0D1V0@chloNOG,COG0631@NOG	protein serine threonine phosphatase			SZUA-1494_4:891..1754	Protein phosphatase PrpC	K20074	K20074	K20074	K01090	K20074
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00009									SZUA-1494_4:c(2073..2546)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00010									SZUA-1494_4:c(2772..2978)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00011					08N14@bactNOG,0YSBB@NOG	nucleic acid binding OB-fold tRNA helicase-type			SZUA-1494_5:42..983	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00012									SZUA-1494_5:c(1782..2330)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00013	K02118		ATPVB, ntpB, atpB	V/A-type H+/Na+-transporting ATPase subunit B	08JIP@bactNOG,1AR8I@spiNOG,COG1156@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type beta chain is a regulatory subunit (By similarity)			SZUA-1494_6:53..1474	V-type sodium ATPase subunit B	K02118	K02118		K02118	K02147
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00014	K02120		ATPVD, ntpD, atpD	V/A-type H+/Na+-transporting ATPase subunit D	06C6A@bactNOG,0EQKA@cloNOG,0NFXV@firmNOG,COG1394@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1494_6:1461..2234	V-type ATP synthase subunit D	K02120	K02120		K02120	K02149
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00015					0KUHZ@eurNOG,0WN0Q@methaNOG,COG0589@NOG,arCOG02053@arNOG	Universal stress protein			SZUA-1494_6:2251..2703	Putative universal stress protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00016	K16898	[EC:3.1.-.-][EC:3.6.4.12]	addA	ATP-dependent helicase/nuclease subunit A	04RXZ@bacNOG,07R2I@bactNOG,0NENF@firmNOG,COG1074@NOG	UvrD/REP helicase N-terminal domain			SZUA-1494_7:c(288..3026)	ATP-dependent helicase/nuclease subunit A	K16898			K16898	K16898
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00017					0XPWR@NOG	hydrolase family 5			SZUA-1494_8:37..639	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00018									SZUA-1494_9:c(384..1058)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00019					05BZU@bactNOG,0D3JX@chloNOG,0D6TE@chlorNOG,0XNMH@NOG	Signal transduction histidine kinase			SZUA-1494_10:c(179..1441)	Sensor histidine kinase WalK					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00020	K20469		K20469	putative heme transporter	05C02@bactNOG,0D1WQ@chloNOG,0D6AK@chlorNOG,COG0628@NOG	Domain of unknown function DUF20			SZUA-1494_10:c(1482..2615)	Putative transport protein	K20469				K20469
