#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00001	K02056	[EC:3.6.3.17]	ABC.SS.A	simple sugar transport system ATP-binding protein	08JQ9@bactNOG,0D60T@chloNOG,COG3845@NOG	ABC transporter related			SZUA-1145_1:59..1426	Ribose import ATP-binding protein RbsA	K02056	K02056		K02056	K02056
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00002	K00382	[EC:1.8.1.4]	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase	04RQU@bacNOG,07QN2@bactNOG,0NDG4@firmNOG,COG1249@NOG	dihydrolipoyl dehydrogenase			SZUA-1145_1:c(1453..2841)	Dihydrolipoyl dehydrogenase	K00382	K00382		K00382	K21739
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00003	K00627	[EC:2.3.1.12]	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	04RSA@bacNOG,05C7S@bactNOG,0NDCY@firmNOG,COG0508@NOG	pyruvate dehydrogenase complex			SZUA-1145_1:c(2849..4078)	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	K00627	K00627		K00627	K00658
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00004	K00162	[EC:1.2.4.1]	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit	00CNQ@actNOG,05CPP@bactNOG,COG0022@NOG	Pyruvate dehydrogenase E1 component			SZUA-1145_1:c(4084..5097)	Pyruvate dehydrogenase E1 component subunit beta	K00162	K00162		K00162	K21417
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00005	K00161	[EC:1.2.4.1]	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit	04TCS@bacNOG,07RUY@bactNOG,0NENY@firmNOG,COG1071@NOG	Pyruvate dehydrogenase (Acetyl-transferring) E1 component, alpha subunit			SZUA-1145_1:c(5094..6089)	Pyruvate dehydrogenase E1 component subunit alpha	K00161	K00161		K00161	K21416
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00006	K07005		K07005	uncharacterized protein	00J69@actNOG,08YM9@bactNOG,11IW2@NOG	pyridoxamine 5'-phosphate			SZUA-1145_1:6554..7021	hypothetical protein	K07005			K07005	
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00007	K07164		K07164	uncharacterized protein	00HI1@actNOG,08PSM@bactNOG,COG1579@NOG	Zn-ribbon protein possibly nucleic acid-binding			SZUA-1145_1:7056..7769	hypothetical protein	K07164			K07164	K07164
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00008									SZUA-1145_1:7773..8288	hypothetical protein					
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00009	K22316	[EC:3.1.26.4][EC:3.1.3.73]	rhnA-cobC	ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase	00BKN@actNOG,05CVJ@bactNOG,COG0328@NOG,COG0406@NOG	Bifunctional RNase H acid phosphatase			SZUA-1145_1:8288..8863	Phosphoserine phosphatase 1	K22316	K22316		K02226	K20581
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00010	K18555		qnr, mcbG	fluoroquinolone resistance protein	05VRE@bactNOG,0FM7Y@cyaNOG,COG1357@NOG	Pentapeptide repeat protein			SZUA-1145_1:c(8928..9329)	Secreted effector protein PipB2	K18555				K18555
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00011	K00123	[EC:1.17.1.9]	fdoG, fdhF, fdwA	formate dehydrogenase major subunit	07QJ7@bactNOG,0D1UA@chloNOG,COG0243@NOG	formate dehydrogenase, alpha subunit			SZUA-1145_2:c(526..3330)	Polysulfide reductase chain A	K00123			K00123	K21307
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00012	K00124		fdoH, fdsB	formate dehydrogenase iron-sulfur subunit	00GZI@actNOG,05D3S@bactNOG,COG0437@NOG	4Fe-4S ferredoxin iron-sulfur binding domain protein			SZUA-1145_2:c(3354..4898)	Thiosulfate reductase electron transfer subunit PhsB	K00124			K00124	K21308
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00013					00N5W@actNOG,08SPU@bactNOG,11WKC@NOG	TetR family Transcriptional regulator			SZUA-1145_2:c(4895..5506)	Tetracycline repressor protein class B from transposon Tn10					
Acidimicrobiia_bacterium_SZUA-1145|SZUA-1145_00014	K00625	[EC:2.3.1.8]	E2.3.1.8, pta	phosphate acetyltransferase	08IJ2@bactNOG,COG0280@NOG	phosphate acetyltransferase			SZUA-1145_2:c(5762..6646)	Ethanolamine utilization protein EutD	K00625			K00625	K13788
