#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00001	K01843	[EC:5.4.3.2]	kamA	lysine 2,3-aminomutase	05CK3@bactNOG,0G9F9@deiNOG,COG1509@NOG	Inherit from bactNOG: Lysine 2,3-aminomutase YodO family protein			SZUA-1490_1:513..1892	L-lysine 2,3-aminomutase	K01843			K01843	K19814
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00002	K08963	[EC:5.3.1.23]	mtnA	methylthioribose-1-phosphate isomerase	05C35@bactNOG,0D1EC@chloNOG,COG0182@NOG	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P) (By similarity)			SZUA-1490_1:2072..3139	Methylthioribose-1-phosphate isomerase	K08963	K08963		K08963	K03239
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00003	K00856	[EC:2.7.1.20]	E2.7.1.20, ADK	adenosine kinase	07SD8@bactNOG,0D1M9@chloNOG,COG0524@NOG	PfkB domain protein			SZUA-1490_1:3136..4155	Adenosine kinase	K00856	K00856	K00856	K00852	K21621
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00004	K01251	[EC:3.3.1.1]	E3.3.1.1, ahcY	adenosylhomocysteinase	05C3E@bactNOG,0D1M2@chloNOG,COG0499@NOG	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine (By similarity)			SZUA-1490_1:4203..5459	Adenosylhomocysteinase	K01251	K01251	K01251	K01251	K01251
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00005	K07058		K07058	membrane protein	00C3C@actNOG,05DXZ@bactNOG,COG1295@NOG	Ribonuclease bn			SZUA-1490_1:c(5523..6425)	hypothetical protein	K07058	K07058		K07058	K07058
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00006	K02005		ABC.CD.TX	HlyD family secretion protein	07T7P@bactNOG,0D30J@chloNOG,0ZVKK@NOG	secretion protein HlyD family			SZUA-1490_1:6572..7933	Macrolide export protein MacA	K02005	K02005		K02005	
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00007									SZUA-1490_2:86..346	hypothetical protein					
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00008									SZUA-1490_2:362..643	hypothetical protein					
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00009	K21401	[EC:1.3.99.38]	menJ	menaquinone-9 beta-reductase	05P52@bactNOG,COG0644@NOG	geranylgeranyl reductase			SZUA-1490_2:c(651..1844)	Menaquinone reductase	K21401	K21401		K10960	K21401
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00010	K02340	[EC:2.7.7.7]	holA	DNA polymerase III subunit delta	083X3@bactNOG,0D2VA@chloNOG,COG1466@NOG	DNA polymerase III, delta			SZUA-1490_2:c(1851..2858)	putative protein YqeN	K02340	K02340		K02340	K02340
Anaerolineaceae_bacterium_SZUA-1490|SZUA-1490_00011					08TNP@bactNOG,0D3IP@chloNOG,11GQ3@NOG				SZUA-1490_2:c(2851..3372)	hypothetical protein					
