#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00001	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05CYX@bactNOG,0BB5Z@bproNOG,0XNUN@NOG,16QVI@proNOG	reductase			SZUA-1021_1:19..324	putative oxidoreductase	K00059	K00059		K00059	
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00002	K19784		chrR, NQR	chromate reductase, NAD(P)H dehydrogenase (quinone)	01U5I@aproNOG,08VG0@bactNOG,171KH@proNOG,COG0431@NOG	NAD(P)H-dependent FMN reductase			SZUA-1021_1:353..928	hypothetical protein	K19784			K19784	K19784
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00003	K07080		K07080	uncharacterized protein	08J22@bactNOG,0RAW4@gproNOG,17339@proNOG,COG2358@NOG	TRAP transporter solute receptor TAXI family protein			SZUA-1021_1:928..2052	hypothetical protein	K07080				K07080
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00004									SZUA-1021_1:c(2452..2811)	hypothetical protein					
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00005									SZUA-1021_1:c(3514..3717)	hypothetical protein					
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00006	K20534	[EC:2.4.-.-]	gtrB, csbB	polyisoprenyl-phosphate glycosyltransferase	07WE6@bactNOG,0BDQH@bproNOG,1750E@proNOG,COG0463@NOG	glycosyl transferase, family 2			SZUA-1021_2:c(652..1596)	putative glycosyltransferase	K20534	K20534		K00721	K21366
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00007	K12453	[EC:1.1.1.342]	rfbS	CDP-paratose synthetase	08PFB@bactNOG,0GCMB@delNOG,0HE3N@dproNOG,178XI@proNOG,COG0451@NOG	NAD-dependent epimerase dehydratase			SZUA-1021_2:c(1609..2511)	CDP-abequose synthase	K12453		K12453	K01784	K22025
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00008	K01999		livK	branched-chain amino acid transport system substrate-binding protein	061MQ@bactNOG,0QRJ0@gproNOG,0XPCZ@NOG,16QGE@proNOG	Inherit from proNOG: amino acid			SZUA-1021_3:17..226	hypothetical protein	K01999	K01999		K01999	
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00009	K01996		livF	branched-chain amino acid transport system ATP-binding protein	08IV0@bactNOG,0BRKZ@bproNOG,172ZQ@proNOG,COG0410@NOG	ABC, transporter			SZUA-1021_3:242..1087	High-affinity branched-chain amino acid transport ATP-binding protein LivF	K01996	K01996	K01996	K01996	K11963
Alphaproteobacteria_bacterium_SZUA-1021|SZUA-1021_00010	K19339		nosR	NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator	05HEE@bactNOG,0QJ3F@gproNOG,16SR7@proNOG,COG0348@NOG,COG3901@NOG	Regulatory protein NosR			SZUA-1021_3:1154..3451	Putative electron transport protein YccM	K19339	K19339		K19339	K19343
