#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Alcanivorax_sp_SZUA-1011|SZUA-1011_00001	K00252	[EC:1.3.8.6]	GCDH, gcdH	glutaryl-CoA dehydrogenase	05C1G@bactNOG,0QJE5@gproNOG,16QBK@proNOG,COG1960@NOG	Dehydrogenase			SZUA-1011_1:1054..2241	Acyl-CoA dehydrogenase	K00252	K00252		K00252	K22027
Alcanivorax_sp_SZUA-1011|SZUA-1011_00002	K07749	[EC:2.8.3.16]	frc	formyl-CoA transferase	05C04@bactNOG,0QIR4@gproNOG,16PTM@proNOG,COG1804@NOG	l-carnitine dehydratase bile acid-inducible protein F			SZUA-1011_1:2238..3464	Acetyl-CoA:oxalate CoA-transferase	K07749			K07749	K20882
Alcanivorax_sp_SZUA-1011|SZUA-1011_00003					06AXJ@bactNOG,0QKES@gproNOG,11JF9@NOG,16TMX@proNOG	AraC family transcriptional regulator			SZUA-1011_1:3551..4387	HTH-type transcriptional regulator YesS					
Alcanivorax_sp_SZUA-1011|SZUA-1011_00004	K11250		leuE	leucine efflux protein	COG1280@NOG	Lysine exporter protein (Lyse ygga)			SZUA-1011_1:4440..5036	Cysteine/O-acetylserine efflux protein	K11250				K11250
Alcanivorax_sp_SZUA-1011|SZUA-1011_00005	K15363	[EC:3.1.21.-][EC:3.1.4.1]	FAN1, MTMR15	fanconi-associated nuclease 1	05F2V@bactNOG,0QIDE@gproNOG,0XRN3@NOG,16SRT@proNOG	VRR-NUC domain protein			SZUA-1011_1:5072..6709	Fanconi-associated nuclease 1	K15363		K15363		
Alcanivorax_sp_SZUA-1011|SZUA-1011_00006	K07464	[EC:3.1.12.1]	cas4	CRISPR-associated exonuclease Cas4	07QX6@bactNOG,0QJBG@gproNOG,16TN8@proNOG,COG1199@NOG	Helicase			SZUA-1011_1:6706..8991	putative ATP-dependent helicase DinG	K07464			K07464	K03722
Alcanivorax_sp_SZUA-1011|SZUA-1011_00007					06DMR@bactNOG,0R0HD@gproNOG,11UD5@NOG,17FUX@proNOG	Inherit from bactNOG: domain protein			SZUA-1011_1:9179..15409	hypothetical protein					
Alcanivorax_sp_SZUA-1011|SZUA-1011_00008									SZUA-1011_1:c(15909..16175)	hypothetical protein					
Alcanivorax_sp_SZUA-1011|SZUA-1011_00009									SZUA-1011_2:c(38..295)	hypothetical protein					
Alcanivorax_sp_SZUA-1011|SZUA-1011_00010	K08218		ampG	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	05EYM@bactNOG,0QJ1C@gproNOG,16PPI@proNOG,COG0477@NOG	Major Facilitator Superfamily			SZUA-1011_2:454..1776	Protein AmpG	K08218	K08218		K08218	K19552
Alcanivorax_sp_SZUA-1011|SZUA-1011_00011	K07443		ybaZ	methylated-DNA-protein-cysteine methyltransferase related protein	080UX@bactNOG,0QW83@gproNOG,17KEH@proNOG,COG3695@NOG	methyltransferase			SZUA-1011_2:c(1854..2156)	DNA base-flipping protein	K07443	K07443		K07443	K07443
Alcanivorax_sp_SZUA-1011|SZUA-1011_00012	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05EK9@bactNOG,0QJHW@gproNOG,0XNNW@NOG,16PP5@proNOG	reductase			SZUA-1011_2:c(2329..3090)	3-oxoacyl-[acyl-carrier-protein] reductase	K00059	K00059		K00059	
Alcanivorax_sp_SZUA-1011|SZUA-1011_00013	K04078		groES, HSPE1	chaperonin GroES	05K5Y@bactNOG,0QS3K@gproNOG,17FI0@proNOG,COG0234@NOG	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter (By similarity)			SZUA-1011_2:3538..3828	10 kDa chaperonin	K04078	K04078	K04078	K04078	K04078
