#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00001	K12472		EPS15	epidermal growth factor receptor substrate 15	0J2R0@euNOG,11W2T@NOG	Viral A-type inclusion protein			SZUA-1384_1:c(247..1455)	Chromosome partition protein Smc	K12472			K12472	
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00002									SZUA-1384_1:c(1469..2539)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00003	K00525	[EC:1.17.4.1]	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain	05BZH@bactNOG,0GAZ3@delNOG,0I2K4@eproNOG,16PBB@proNOG,COG0209@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1384_1:c(2708..5077)	Ribonucleoside-diphosphate reductase 1 subunit alpha	K00525	K00525	K00525	K00525	K00525
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00004	K01756	[EC:4.3.2.2]	purB, ADSL	adenylosuccinate lyase	07QTF@bactNOG,0GAYK@delNOG,0I2UH@eproNOG,16PTV@proNOG,COG0015@NOG	adenylosuccinate lyase			SZUA-1384_1:c(5093..6418)	Adenylosuccinate lyase	K01756	K01756	K01756	K01756	K22004
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00005	K06180	[EC:5.4.99.23]	rluD	23S rRNA pseudouridine1911/1915/1917 synthase	05EI2@bactNOG,0GBF6@delNOG,0I36T@eproNOG,16PU1@proNOG,COG0564@NOG	Pseudouridine synthase			SZUA-1384_1:6622..7452	putative RNA pseudouridine synthase	K06180	K06180		K06177	K15454
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00006									SZUA-1384_1:c(7424..7522)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00007	K06941	[EC:2.1.1.192]	rlmN	23S rRNA (adenine2503-C2)-methyltransferase	05C55@bactNOG,0GAWC@delNOG,0I36F@eproNOG,16PVK@proNOG,COG0820@NOG	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs. m2A2503 modification seems to play a crucial role in the proofreading step occurring at the peptidyl transferase center and thus would serve to optimize ribosomal fidelity (By similarity)			SZUA-1384_1:c(7509..7868)	putative dual-specificity RNA methyltransferase RlmN	K06941	K06941		K06941	K06941
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00008	K03569		mreB	rod shape-determining protein MreB and related proteins	05DFF@bactNOG,0GAW9@delNOG,0I2XB@eproNOG,16PRK@proNOG,COG1077@NOG	rod shape-determining protein (mreB)			SZUA-1384_2:25..192	Rod shape-determining protein MreB	K03569	K03569		K03569	K03569
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00009	K03570		mreC	rod shape-determining protein MreC	05G3B@bactNOG,0GDVI@delNOG,0I3YW@eproNOG,17E9E@proNOG,COG1792@NOG	Rod shape-determining protein mreC			SZUA-1384_2:185..937	hypothetical protein	K03570	K03570		K03570	K03570
Campylobacterales_bacterium_SZUA-1384|SZUA-1384_00010	K00076	[EC:1.1.1.159]	hdhA	7-alpha-hydroxysteroid dehydrogenase	05CSJ@bactNOG,0GAQ2@delNOG,0I2N3@eproNOG,16PM1@proNOG,COG0623@NOG	7-alpha-hydroxysteroid dehydrogenase			SZUA-1384_3:21..398	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	K00076	K00076		K00076	K11611
