#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00001	K01627	[EC:2.5.1.55]	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)	05CXR@bactNOG,0QIXG@gproNOG,16PEJ@proNOG,COG2877@NOG	Phospho-2-dehydro-3-deoxyoctonate aldolase			SZUA-1210_1:1..858	2-dehydro-3-deoxyphosphooctonate aldolase	K01627	K01627		K01627	K01627
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00002	K01689	[EC:4.2.1.11]	ENO, eno	enolase	05C70@bactNOG,0QIR5@gproNOG,16PJE@proNOG,COG0148@NOG	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)			SZUA-1210_1:922..2211	Enolase	K01689	K01689	K01689	K01689	K01689
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00003					07VMU@bactNOG,0QJI1@gproNOG,16PP0@proNOG,COG2323@NOG	membrAne			SZUA-1210_1:c(2295..2972)	hypothetical protein					
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00004									SZUA-1210_1:c(3335..4015)	hypothetical protein					
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00005	K16088		TC.FEV.OM1, fhuE, fpvA, fptA	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid	COG4773@NOG	receptor			SZUA-1210_1:4392..6575	FhuE receptor	K16088	K16088	K16088	K16088	K16088
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00006	K05589		ftsB	cell division protein FtsB	05XX3@bactNOG,0QVT9@gproNOG,17K6H@proNOG,COG2919@NOG	Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic (By similarity)			SZUA-1210_1:6853..7242	Cell division protein FtsB	K05589	K05589		K05589	K13052
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00007	K00991	[EC:2.7.7.60]	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	05CE5@bactNOG,0QIGI@gproNOG,16PTP@proNOG,COG1211@NOG	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP) (By similarity)			SZUA-1210_1:7208..7924	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	K00991	K00991		K00991	K21681
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00008	K06891		clpS	ATP-dependent Clp protease adaptor protein ClpS	05KAE@bactNOG,0QU4P@gproNOG,17FG3@proNOG,COG2127@NOG	Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation (By similarity)			SZUA-1210_2:4..210	ATP-dependent Clp protease adapter protein ClpS	K06891	K06891		K06891	K06891
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00009	K03694		clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	05C2Z@bactNOG,0QHWR@gproNOG,16PES@proNOG,COG0542@NOG	Atp-dependent clp protease atp-binding subunit			SZUA-1210_2:220..2496	ATP-dependent Clp protease ATP-binding subunit ClpA	K03694	K03694		K03694	K11907
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00010	K09771		TC.SMR3	small multidrug resistance family-3 protein	05KK4@bactNOG,0QS54@gproNOG,17FGU@proNOG,COG1742@NOG	UPF0060 membrane protein			SZUA-1210_2:2500..2862	hypothetical protein	K09771	K09771	K09771	K09771	K09771
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00011	K01626	[EC:2.5.1.54]	E2.5.1.54, aroF, aroG, aroH	3-deoxy-7-phosphoheptulonate synthase	05E99@bactNOG,0QHSJ@gproNOG,16PQR@proNOG,COG0722@NOG	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity)			SZUA-1210_2:3288..4343	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	K01626	K01626	K01626	K01626	K01626
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00012					089K4@bactNOG,0R2G5@gproNOG,0ZKSG@NOG,16YQB@proNOG	alpha beta hydrolase fold family protein			SZUA-1210_2:c(4392..5309)	AB hydrolase superfamily protein YdjP					
Acinetobacter_pittii_SZUA-1210|SZUA-1210_00013	K10917		aphA	PadR family transcriptional regulator, regulatory protein AphA	05GU6@bactNOG,0QW57@gproNOG,17D97@proNOG,COG1695@NOG	Transcriptional regulator			SZUA-1210_2:c(5312..5872)	hypothetical protein	K10917			K10917	K10947
