#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1430|SZUA-1430_00001					08R5T@bactNOG,11FHM@NOG	secreted protein			SZUA-1430_1:4..1179	Putative lipoprotein YerB					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00002	K02340	[EC:2.7.7.7]	holA	DNA polymerase III subunit delta	083X3@bactNOG,0D2VA@chloNOG,0D7BU@chlorNOG,COG1466@NOG	DNA polymerase III, delta subunit			SZUA-1430_1:1641..2585	putative protein YqeN	K02340	K02340		K02340	K02340
Candidatus_bacterium_SZUA-1430|SZUA-1430_00003					01WIG@aproNOG,070B9@bactNOG,0XT9F@NOG,173KY@proNOG				SZUA-1430_1:2630..3457	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00004	K17828	[EC:1.3.1.14]	pyrDI	dihydroorotate dehydrogenase (NAD+) catalytic subunit	04RU3@bacNOG,07RY0@bactNOG,0NDT3@firmNOG,COG0167@NOG	Catalyzes the conversion of dihydroorotate to orotate			SZUA-1430_1:3572..4558	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	K17828	K17828		K00226	K17723
Candidatus_bacterium_SZUA-1430|SZUA-1430_00005	K01535	[EC:3.6.3.6]	PMA1, PMA2	H+-transporting ATPase	05C52@bactNOG,0GAMC@delNOG,0I2TA@eproNOG,16PGS@proNOG,COG0474@NOG	p-type atpase			SZUA-1430_2:115..900	Magnesium-transporting ATPase, P-type 1	K01535	K01535		K01535	K14951
Candidatus_bacterium_SZUA-1430|SZUA-1430_00006									SZUA-1430_2:1135..1680	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00007	K00963	[EC:2.7.7.9]	UGP2, galU, galF	UTP--glucose-1-phosphate uridylyltransferase	04RZT@bacNOG,05C3Y@bactNOG,0NDTB@firmNOG,COG1210@NOG	UTP-glucose-1-phosphate uridylyltransferase			SZUA-1430_3:c(387..1253)	UTP--glucose-1-phosphate uridylyltransferase	K00963	K00963	K00963	K00963	K00963
Candidatus_bacterium_SZUA-1430|SZUA-1430_00008	K00973	[EC:2.7.7.24]	E2.7.7.24, rfbA, rffH	glucose-1-phosphate thymidylyltransferase	08I19@bactNOG,0RAKC@gproNOG,172GZ@proNOG,COG1209@NOG	Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis (By similarity)			SZUA-1430_3:c(1342..1974)	Glucose-1-phosphate thymidylyltransferase	K00973	K00973		K00973	K00973
Candidatus_bacterium_SZUA-1430|SZUA-1430_00010	K02834		rbfA	ribosome-binding factor A	05H4N@bactNOG,09GIJ@bctoNOG,0PAPU@flaNOG,COG0858@NOG	Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Essential for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA (By similarity)			SZUA-1430_4:650..976	Ribosome-binding factor A	K02834			K02834	K02834
Candidatus_bacterium_SZUA-1430|SZUA-1430_00011	K06881	[EC:3.1.3.7][EC:3.1.13.3]	nrnA	bifunctional oligoribonuclease and PAP phosphatase NrnA	05SFS@bactNOG,0EP52@cloNOG,0NE4A@firmNOG,COG0618@NOG	domain protein			SZUA-1430_4:1027..1992	Bifunctional oligoribonuclease and PAP phosphatase NrnA	K06881	K06881		K06881	K06881
Candidatus_bacterium_SZUA-1430|SZUA-1430_00012	K21929	[EC:3.2.2.27]	udg	uracil-DNA glycosylase	08UN4@bactNOG,0D2E6@chloNOG,0G75E@dehNOG,COG1573@NOG	UDG			SZUA-1430_4:2033..2626	Type-4 uracil-DNA glycosylase	K21929	K21929		K02334	K21929
