#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00002	K12589		RRP42, EXOSC7	exosome complex component RRP42	02H0S@arcNOG,0KRS5@eurNOG,COG2123@NOG,arCOG01574@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species (By similarity)			SZUA-1439_1:493..1284	Exosome complex component Rrp42	K12589	K12589	K12589	K12589	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00003	K04076	[EC:3.4.21.53]	lonB	ATP-dependent Lon protease	0KW6D@eurNOG,COG1067@NOG,COG1372@NOG,arCOG02160@arNOG,arCOG03146@arNOG,arCOG03158@arNOG	Lon protease (S16) C-terminal proteolytic domain			SZUA-1439_1:c(1435..2118)	Archaeal Lon protease	K04076	K04076		K04076	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00004									SZUA-1439_2:c(139..279)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00005					02I2J@arcNOG,0KYJ8@eurNOG,11XVZ@NOG,arCOG04995@arNOG				SZUA-1439_2:c(299..634)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00006	K03231		EEF1A	elongation factor 1-alpha	02GVH@arcNOG,0KRHD@eurNOG,COG5258@NOG,arCOG01562@arNOG	Protein synthesis factor GTP-binding protein			SZUA-1439_2:c(844..2418)	Elongation factor 1-alpha	K03231	K03231	K03231	K03231	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00007	K03592		pmbA	PmbA protein	0KRX2@eurNOG,COG0312@NOG,arCOG00322@arNOG	peptidase U62, modulator of DNA gyrase			SZUA-1439_4:c(125..1363)	Zinc metalloprotease TldD	K03592	K03592	K03592	K03592	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00008	K03568		tldD	TldD protein	02GY6@arcNOG,0KRM6@eurNOG,COG0312@NOG,arCOG00321@arNOG	peptidase U62 modulator of DNA gyrase			SZUA-1439_4:c(1364..2680)	Zinc metalloprotease TldD	K03568	K03568	K03568	K03568	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00009					02GXM@arcNOG,0KSYE@eurNOG,COG0644@NOG,arCOG00570@arNOG	Inherit from arCOG: Is involved in the reduction of 2,3- digeranylgeranylglycerophospholipids (unsaturated archaeols) into 2,3-diphytanylglycerophospholipids (saturated archaeols) in the biosynthesis of archaeal membrane lipids. Catalyzes the formation of archaetidic acid (2,3-di-O-phytanyl-sn-glyceryl phosphate) from 2,3-di-O-geranylgeranylglyceryl phosphate (DGGGP) via the hydrogenation of each double bond of the isoprenoid chains (By similarity)			SZUA-1439_4:c(2792..3754)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00010	K02322	[EC:2.7.7.7]	polC	DNA polymerase II large subunit	0KRHY@eurNOG,COG1372@NOG,COG1933@NOG,arCOG04447@arNOG	Possesses two activities a DNA synthesis (polymerase) and an exonucleolytic activity that degrades single stranded DNA in the 3'- to 5'-direction. Has a template-primer preference which is characteristic of a replicative DNA polymerase (By similarity)			SZUA-1439_5:34..1740	DNA polymerase II large subunit	K02322	K02322		K02322	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00011	K07472		TIP49	TBP-interacting protein	02HAM@arcNOG,0KSIV@eurNOG,COG1224@NOG,arCOG04081@arNOG	TIP49 C-terminus			SZUA-1439_5:c(1989..2867)	hypothetical protein	K07472	K07472		K03551	
