#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00001	K20932	[EC:1.7.2.7]	K20932	hydrazine synthase subunit	005I2@aciNOG,05C3V@bactNOG,COG3391@NOG	40-residue YVTN family beta-propeller repeat protein			SZUA-1099_1:c(715..1779)	Hydrazine synthase subunit beta	K20932				K20932
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00002									SZUA-1099_1:c(1958..4201)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00003	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	006QM@aciNOG,05JXB@bactNOG,COG0666@NOG	ANK			SZUA-1099_1:c(4265..5749)	Phosphocholine transferase AnkX	K18696				K18696
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00004					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1099_1:c(5782..7137)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00005					05TWE@bactNOG,0XRNX@NOG	Protein of unknown function (DUF1595)			SZUA-1099_1:c(7137..9515)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00006					07GRE@bactNOG,0Z2AW@NOG	Cyclase family			SZUA-1099_1:9733..10830	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00007	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	006QM@aciNOG,05JXB@bactNOG,COG0666@NOG	ANK			SZUA-1099_1:c(10916..12412)	hypothetical protein	K18696				K18696
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00008					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1099_1:c(12472..13824)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00009					05TWE@bactNOG,0XRNX@NOG	Protein of unknown function (DUF1595)			SZUA-1099_1:c(13821..16244)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00010									SZUA-1099_1:c(16299..16874)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00011					00BQ0@actNOG,05C0R@bactNOG,0XNN3@NOG	drug resistance transporter, EmrB QacA subfamily			SZUA-1099_1:c(16921..18486)	Multidrug resistance protein 3					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00012					05G4Q@bactNOG,09F72@bctoNOG,11Q9F@NOG	Protein of unknown function (DUF2911)			SZUA-1099_1:c(18577..19203)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00013									SZUA-1099_1:c(19258..19575)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00014									SZUA-1099_2:40..195	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00015	K00626	[EC:2.3.1.9]	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase	01QDE@aproNOG,05CHU@bactNOG,16PGG@proNOG,COG0183@NOG	Beta-ketoadipyl CoA thiolase			SZUA-1099_2:c(580..1788)	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase	K00626	K00626		K00626	K07823
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00016	K02380		fdhE	FdhE protein	006Q5@aciNOG,05F46@bactNOG,COG3058@NOG	protein involved in formate dehydrogenase formation			SZUA-1099_2:c(1986..2864)	Protein FdhE	K02380		K02380	K02380	K02380
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00017	K00127		fdoI, fdsG	formate dehydrogenase subunit gamma	02FD3@aquNOG,08MG3@bactNOG,COG2864@NOG	Formate dehydrogenase gamma subunit			SZUA-1099_2:c(2876..3490)	Formate dehydrogenase, cytochrome b556(fdo) subunit	K00127	K00127		K00124	K14069
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00018	K00124		fdoH, fdsB	formate dehydrogenase iron-sulfur subunit	05QA4@bactNOG,0QJX0@gproNOG,16QRY@proNOG,COG0437@NOG	formate dehydrogenase, beta subunit			SZUA-1099_2:c(3496..4356)	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit	K00124	K00124	K00124	K00124	K21308
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00019	K00123	[EC:1.17.1.9]	fdoG, fdhF, fdwA	formate dehydrogenase major subunit	07QIW@bactNOG,0GAUS@delNOG,0HBUG@dproNOG,16UIZ@proNOG,COG0243@NOG	Formate dehydrogenase, alpha subunit			SZUA-1099_2:c(4353..6749)	Formate dehydrogenase, nitrate-inducible, major subunit	K00123	K00123	K00123	K00123	K21307
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00020	K00123	[EC:1.17.1.9]	fdoG, fdhF, fdwA	formate dehydrogenase major subunit	02G71@aquNOG,05EA5@bactNOG,COG0243@NOG	Molybdopterin oxidoreductase Fe4S4 domain			SZUA-1099_2:c(6762..7349)	Formate dehydrogenase subunit alpha	K00123	K00123		K00123	K21307
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00021	K02379		fdhD	FdhD protein	00BQV@actNOG,07H9G@bactNOG,COG1526@NOG	Necessary for formate dehydrogenase activity (By similarity)			SZUA-1099_2:7359..8309	Sulfur carrier protein FdhD	K02379	K02379		K02379	K02379
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00022	K09252	[EC:3.1.1.73]	FAEB	feruloyl esterase	00088@acidNOG,0044Z@aciNOG,05R0I@bactNOG,0XQEN@NOG	Feruloyl esterase			SZUA-1099_2:c(8283..9836)	Mono(2-hydroxyethyl) terephthalate hydrolase	K09252			K09252	
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00023	K07749	[EC:2.8.3.16]	frc	formyl-CoA transferase	05C04@bactNOG,0D3N5@chloNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1099_2:9924..11087	Acetyl-CoA:oxalate CoA-transferase	K07749			K07749	K20882
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00024									SZUA-1099_2:11113..11565	hypothetical protein					
Acidobacteria_bacterium_SZUA-1099|SZUA-1099_00025					05K6X@bactNOG,0GG9A@delNOG,0HH72@dproNOG,11W3Z@NOG,17G4K@proNOG	Protein of unknown function (DUF3014)			SZUA-1099_2:11601..12383	hypothetical protein					
