#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_sp_SZUA-1058|SZUA-1058_00001	K05592	[EC:3.6.4.13]	deaD, cshA	ATP-dependent RNA helicase DeaD	05C1J@bactNOG,0QI2F@gproNOG,16PDE@proNOG,COG0513@NOG	ATP-dependent RNA helicase			SZUA-1058_1:54..1805	ATP-dependent RNA helicase DeaD	K05592	K05592	K05592	K05592	K18692
Candidatus_sp_SZUA-1058|SZUA-1058_00002	K03704		cspA	cold shock protein (beta-ribbon, CspA family)	05VEQ@bactNOG,0QVKR@gproNOG,17JS4@proNOG,COG1278@NOG	Cold shock protein			SZUA-1058_1:1978..2184	Cold shock-like protein CspD	K03704	K03704	K03704	K03704	K03704
Candidatus_sp_SZUA-1058|SZUA-1058_00003					08M1M@bactNOG,0QNAZ@gproNOG,0XQME@NOG,16TGW@proNOG	outer membrane lipoprotein-sorting protein			SZUA-1058_2:c(1180..1815)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00004	K01895	[EC:6.2.1.1]	ACSS, acs	acetyl-CoA synthetase	00VX1@actNOG,07TPC@bactNOG,COG1042@NOG	CoA_binding			SZUA-1058_3:10..630	Protein lysine acetyltransferase Pka	K01895			K01895	K18594
Candidatus_sp_SZUA-1058|SZUA-1058_00005	K08299	[EC:4.2.1.149]	caiD	crotonobetainyl-CoA hydratase	06YT9@bactNOG,0QJ2X@gproNOG,16Q6W@proNOG,COG1024@NOG	Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA (By similarity)			SZUA-1058_3:665..1450	Carnitinyl-CoA dehydratase	K08299	K08299	K08299	K01692	K20765
Candidatus_sp_SZUA-1058|SZUA-1058_00006	K08738		CYC	cytochrome c	05Z4X@bactNOG,0R306@gproNOG,17NH6@proNOG,COG2863@NOG	Cytochrome C4			SZUA-1058_3:1530..1841	Cytochrome c4	K08738			K08738	K17230
Candidatus_sp_SZUA-1058|SZUA-1058_00007	K17230		fccA	cytochrome subunit of sulfide dehydrogenase	06RE7@bactNOG,0QQWX@gproNOG,177WA@proNOG,COG2863@NOG	cytochrome			SZUA-1058_3:1927..2565	Cytochrome c4	K17230				K17230
Candidatus_sp_SZUA-1058|SZUA-1058_00008	K00382	[EC:1.8.1.4]	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase	07QN2@bactNOG,0QIAX@gproNOG,16Q3B@proNOG,COG1249@NOG	dihydrolipoyl dehydrogenase			SZUA-1058_4:c(171..1577)	Dihydrolipoyl dehydrogenase	K00382	K00382	K00382	K00382	K21739
Candidatus_sp_SZUA-1058|SZUA-1058_00009	K00627	[EC:2.3.1.12]	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	07QSN@bactNOG,0QJ3D@gproNOG,16QNZ@proNOG,COG0508@NOG	Dihydrolipoamide acetyltransferase			SZUA-1058_4:c(1574..2818)	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	K00627	K00627		K00627	K00658
Candidatus_sp_SZUA-1058|SZUA-1058_00010	K17722	[EC:1.3.1.1]	preT	dihydropyrimidine dehydrogenase (NAD+) subunit PreT	01SAZ@aproNOG,05BZ8@bactNOG,18A4V@proNOG,COG0493@NOG	Oxidoreductase			SZUA-1058_5:c(269..1636)	Glutamate synthase [NADPH] small chain	K17722	K17722	K17722	K00266	K20202
Candidatus_sp_SZUA-1058|SZUA-1058_00011	K01464	[EC:3.5.2.2]	DPYS, dht, hydA	dihydropyrimidinase	05CD3@bactNOG,0QKKW@gproNOG,16PSG@proNOG,COG0044@NOG	dihydro-orotase (EC 3.5.2.3)			SZUA-1058_5:c(1714..1893)	D-hydantoinase/dihydropyrimidinase	K01464			K01464	K01466
Candidatus_sp_SZUA-1058|SZUA-1058_00012	K00795	[EC:2.5.1.1][EC:2.5.1.10]	ispA	farnesyl diphosphate synthase	05CTB@bactNOG,0QIHT@gproNOG,16PUE@proNOG,COG0142@NOG	geranyltranstransferase			SZUA-1058_6:c(127..1020)	Farnesyl diphosphate synthase	K00795	K00795		K00795	K21275
Candidatus_sp_SZUA-1058|SZUA-1058_00013	K03602	[EC:3.1.11.6]	xseB	exodeoxyribonuclease VII small subunit	067QG@bactNOG,0R8PU@gproNOG,17JQB@proNOG,COG1722@NOG	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)			SZUA-1058_6:c(992..1216)	Exodeoxyribonuclease 7 small subunit	K03602	K03602		K03602	K03602
Candidatus_sp_SZUA-1058|SZUA-1058_00014	K21883	[EC:1.1.1.401]	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	05E1F@bactNOG,0B74I@bproNOG,16RMP@proNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1058_6:c(1228..1902)	Oxidoreductase UcpA	K21883				K21883
