#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1202|SZUA-1202_00001	K01893	[EC:6.1.1.22]	NARS, asnS	asparaginyl-tRNA synthetase	0KS72@eurNOG,COG0017@NOG,arCOG00407@arNOG	asparaginyl-tRNA synthetase			SZUA-1202_1:61..648	Asparagine--tRNA ligase	K01893	K01893		K01893	
Candidatus_bacterium_SZUA-1202|SZUA-1202_00002	K20713	[EC:4.4.1.33]	rpcG	R-phycocyanin alpha-cysteine-84 phycourobilin lyase/isomerase	08QJS@bactNOG,0FK0V@cyaNOG,COG1413@NOG	domain protein			SZUA-1202_1:c(828..1544)	hypothetical protein	K20713				K20713
Candidatus_bacterium_SZUA-1202|SZUA-1202_00003	K01126	[EC:3.1.4.46]	E3.1.4.46, glpQ, ugpQ	glycerophosphoryl diester phosphodiesterase	08QXE@bactNOG,0FQ5P@cyaNOG,COG0584@NOG	glycerophosphoryl diester phosphodiesterase			SZUA-1202_1:1646..2353	Glycerophosphodiester phosphodiesterase	K01126	K01126		K01126	K18696
Candidatus_bacterium_SZUA-1202|SZUA-1202_00004					08YXI@bactNOG,COG0432@NOG	Secondary thiamine-phosphate synthase enzyme			SZUA-1202_2:43..351	hypothetical protein					
Candidatus_bacterium_SZUA-1202|SZUA-1202_00005					04V9N@bacNOG,08ZK8@bactNOG,0NHQ1@firmNOG,COG4912@NOG	DNA alkylation repair enzyme			SZUA-1202_2:356..670	hypothetical protein					
Candidatus_bacterium_SZUA-1202|SZUA-1202_00006									SZUA-1202_2:670..834	hypothetical protein					
Candidatus_bacterium_SZUA-1202|SZUA-1202_00007	K02499		yabN	tetrapyrrole methylase family protein / MazG family protein	08IY2@bactNOG,0GT0X@delNOG,0HSE4@dproNOG,17312@proNOG,COG3956@NOG	MazG family			SZUA-1202_2:c(855..1628)	Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG	K02499	K02499		K02428	K02499
Candidatus_bacterium_SZUA-1202|SZUA-1202_00008	K03699		tlyC	putative hemolysin	05C37@bactNOG,0ENZE@cloNOG,0NDM4@firmNOG,COG1253@NOG	CBS domain protein			SZUA-1202_2:c(1615..2883)	hypothetical protein	K03699			K03699	K03699
Candidatus_bacterium_SZUA-1202|SZUA-1202_00009	K07042		ybeY, yqfG	probable rRNA maturation factor	080AX@bactNOG,09EPW@bctoNOG,0PAEW@flaNOG,COG0319@NOG	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)			SZUA-1202_2:c(2880..3314)	Endoribonuclease YbeY	K07042			K07042	K07042
Candidatus_bacterium_SZUA-1202|SZUA-1202_00010	K07037		K07037	uncharacterized protein	05CTJ@bactNOG,COG1480@NOG	Metal Dependent Phosphohydrolase			SZUA-1202_2:c(3311..5662)	Cyclic-di-AMP phosphodiesterase PgpH	K07037	K07037		K07037	K07037
