#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00001					07X16@bactNOG,0ZVI0@NOG,17785@proNOG	BNR/Asp-box repeat			SZUA-1045_1:1021..2004	Xyloglucanase Xgh74A					
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00002					01RI9@aproNOG,08NTJ@bactNOG,0ZVFW@NOG,177CB@proNOG				SZUA-1045_1:2076..3527	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00003	K00462	[EC:1.13.11.39]	bphC	biphenyl-2,3-diol 1,2-dioxygenase	05H37@bactNOG,0BAVW@bproNOG,175RD@proNOG,COG0346@NOG	glyoxalase bleomycin resistance protein dioxygenase			SZUA-1045_1:3618..4484	Biphenyl-2,3-diol 1,2-dioxygenase	K00462			K00462	K21265
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00004	K00020	[EC:1.1.1.31]	mmsB, HIBADH	3-hydroxyisobutyrate dehydrogenase	05CF3@bactNOG,0EPPC@cloNOG,0NE3I@firmNOG,COG2084@NOG	2-hydroxy-3-oxopropionate reductase			SZUA-1045_1:4493..5377	2-(hydroxymethyl)glutarate dehydrogenase	K00020	K00020		K00020	K22026
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00005	K03268	[EC:1.14.12.3][EC:1.14.12.11][EC:1.14.12.-]	todC1, bedC1, tcbAa	benzene/toluene/chlorobenzene dioxygenase subunit alpha	05FUY@bactNOG,16QQ2@proNOG,COG4638@NOG	(alpha) subunit			SZUA-1045_1:5417..6805	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha	K03268			K03268	K21724
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00006	K18243	[EC:1.14.13.172]	nagH	salicylate 5-hydroxylase small subunit	06U7Q@bactNOG,COG5517@NOG	3-phenylpropionate dioxygenase subunit beta			SZUA-1045_1:6837..7382	Biphenyl dioxygenase subunit beta	K18243				K18243
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00007									SZUA-1045_1:7436..7636	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00008									SZUA-1045_1:7636..7851	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00009	K20882	[EC:2.8.3.24]	hadA	(R)-2-hydroxy-4-methylpentanoate CoA-transferase	05C04@bactNOG,COG1804@NOG	l-carnitine dehydratase bile acid-inducible protein F			SZUA-1045_1:8380..9549	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsE	K20882				K20882
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00010	K07544	[EC:2.8.3.15]	bbsF	benzylsuccinate CoA-transferase BbsF subunit	05C04@bactNOG,0B8HU@bproNOG,16PTM@proNOG,COG1804@NOG	CoA-transferase family III			SZUA-1045_1:9551..10825	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF	K07544			K07544	K20882
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00012									SZUA-1045_1:11308..11694	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00013	K15866	[EC:5.3.3.18]	paaG	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase	05CGU@bactNOG,0QRK4@gproNOG,16QBV@proNOG,COG1024@NOG	Enoyl-CoA hydratase			SZUA-1045_1:c(11735..12583)	Crotonyl-CoA hydratase	K15866			K15866	K20765
Dehalococcoidia_bacterium_SZUA-1045|SZUA-1045_00014									SZUA-1045_1:c(12781..13125)	hypothetical protein					
