#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Arcobacter_sp_SZUA-1422|SZUA-1422_00001	K03147	[EC:4.1.99.17]	thiC	phosphomethylpyrimidine synthase	05CBF@bactNOG,0GBCP@delNOG,0I2P8@eproNOG,16Q2G@proNOG,COG0422@NOG	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction (By similarity)			SZUA-1422_1:1..1251	Phosphomethylpyrimidine synthase	K03147	K03147		K03147	K03147
Arcobacter_sp_SZUA-1422|SZUA-1422_00002	K22025	[EC:1.1.1.410]	denD	D-erythronate 2-dehydrogenase	07SRH@bactNOG,0QIRB@gproNOG,16UJP@proNOG,COG0451@NOG	Nad-dependent epimerase dehydratase			SZUA-1422_1:c(1299..2069)	Protein YeeZ	K22025				K22025
Arcobacter_sp_SZUA-1422|SZUA-1422_00003	K07112		K07112	uncharacterized protein	05CUC@bactNOG,16XIV@proNOG,COG2391@NOG	YeeE YedE family protein			SZUA-1422_1:2214..3269	hypothetical protein	K07112	K07112		K07112	K07112
Arcobacter_sp_SZUA-1422|SZUA-1422_00004	K20957	[EC:2.7.7.65]	cdgH	diguanylate cyclase	05BZU@bactNOG,0GAKV@delNOG,0I2IM@eproNOG,18A4W@proNOG,COG0642@NOG,COG0715@NOG,COG0834@NOG	Histidine kinase			SZUA-1422_1:3386..3706	Sensor protein ZraS	K20957				K20957
Arcobacter_sp_SZUA-1422|SZUA-1422_00005	K21025		fimX	multidomain signaling protein FimX	05E83@bactNOG,0GBFG@delNOG,0I2GR@eproNOG,16RVJ@proNOG,COG0784@NOG	response regulator			SZUA-1422_2:7..516	hypothetical protein	K21025				K21025
Arcobacter_sp_SZUA-1422|SZUA-1422_00006	K01095	[EC:3.1.3.27]	pgpA	phosphatidylglycerophosphatase A	08ZAI@bactNOG,0GFKX@delNOG,0I41G@eproNOG,174XQ@proNOG,COG1267@NOG	phosphatidylglycerophosphatase a			SZUA-1422_2:513..977	Phosphatidylglycerophosphatase A	K01095	K01095		K01095	K01095
Arcobacter_sp_SZUA-1422|SZUA-1422_00007	K00797	[EC:2.5.1.16]	speE, SRM	spermidine synthase	084QV@bactNOG,0GH6G@delNOG,0I486@eproNOG,16XGC@proNOG,COG0421@NOG	Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)			SZUA-1422_2:1042..1575	Polyamine aminopropyltransferase	K00797	K00797		K00797	K00802
Arcobacter_sp_SZUA-1422|SZUA-1422_00008	K00859	[EC:2.7.1.24]	coaE	dephospho-CoA kinase	08ZQD@bactNOG,0GD2V@delNOG,0I3ZE@eproNOG,179UJ@proNOG,COG0237@NOG	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A (By similarity)			SZUA-1422_2:1577..2158	Dephospho-CoA kinase	K00859	K00859		K00859	K00859
Arcobacter_sp_SZUA-1422|SZUA-1422_00009	K01778	[EC:5.1.1.7]	dapF	diaminopimelate epimerase	05E4Z@bactNOG,0GBJ8@delNOG,0I2ZD@eproNOG,16PRB@proNOG,COG0253@NOG	Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan (By similarity)			SZUA-1422_2:2158..2892	Diaminopimelate epimerase	K01778	K01778		K01778	K19724
Arcobacter_sp_SZUA-1422|SZUA-1422_00010	K03796		bax	Bax protein	08UR8@bactNOG,0GEKF@delNOG,0I3V5@eproNOG,179WK@proNOG,COG2992@NOG	mannosyl-glycoprotein endo-beta-N-acetylglucosamidase domain protein			SZUA-1422_2:2893..3585	hypothetical protein	K03796	K03796		K03796	K03796
