#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00001	K01736	[EC:4.2.3.5]	aroC	chorismate synthase	02GZ9@arcNOG,0KRMA@eurNOG,COG0082@NOG,arCOG04133@arNOG	chorismate synthase (EC 4.2.3.5)			SZUA-1432_1:c(341..1435)	Chorismate synthase	K01736	K01736	K01736	K01736	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00002	K07143		K07143	UPF0148 protein	02I3J@arcNOG,0KVC3@eurNOG,COG1645@NOG,arCOG00578@arNOG	Sjogrens syndrome scleroderma autoantigen 1			SZUA-1432_2:c(231..638)	hypothetical protein	K07143		K07143	K07143	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00003	K09721		K09721	uncharacterized protein	0KUJC@eurNOG,COG1698@NOG,arCOG04308@arNOG	UPF0147 protein			SZUA-1432_2:690..956	hypothetical protein	K09721	K09721		K09721	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00004	K01880	[EC:6.1.1.14]	GARS, glyS1	glycyl-tRNA synthetase	0KRQ0@eurNOG,COG0423@NOG,arCOG00405@arNOG	glycyl-tRNA synthetase (EC 6.1.1.14)			SZUA-1432_2:c(1454..3151)	Threonine--tRNA ligase	K01880	K01880	K01880	K01880	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00005	K01698	[EC:4.2.1.24]	hemB, ALAD	porphobilinogen synthase	0KRSR@eurNOG,COG0113@NOG,arCOG04300@arNOG	Delta-aminolevulinic acid dehydratase			SZUA-1432_2:c(3298..4257)	hypothetical protein	K01698	K01698	K01698	K01698	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00006	K02492	[EC:1.2.1.70]	hemA	glutamyl-tRNA reductase	02HBE@arcNOG,0KRET@eurNOG,COG0373@NOG,arCOG01036@arNOG	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity)			SZUA-1432_2:c(4208..5506)	Glutamyl-tRNA reductase	K02492	K02492	K02492	K02492	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00007	K08999		K08999	uncharacterized protein	02HQV@arcNOG,0KU0X@eurNOG,COG1259@NOG,arCOG01759@arNOG	Pfam:DUF151			SZUA-1432_2:5697..6140	hypothetical protein	K08999	K08999	K08999	K08999	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00008	K06940		K06940	uncharacterized protein	02HV0@arcNOG,0KYMC@eurNOG,COG0727@NOG,arCOG02579@arNOG	Pfam:UPF0153			SZUA-1432_2:6287..6727	hypothetical protein	K06940		K06940	K06940	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00009									SZUA-1432_3:c(140..424)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00010	K00337	[EC:1.6.5.3]	nuoH	NADH-quinone oxidoreductase subunit H	0KRS9@eurNOG,COG1005@NOG,arCOG01546@arNOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone (By similarity)			SZUA-1432_3:690..1760	F(420)H(2) dehydrogenase subunit H	K00337	K00337	K22175	K00337	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00011	K00338	[EC:1.6.5.3]	nuoI	NADH-quinone oxidoreductase subunit I	COG1143@NOG,arCOG01543@arNOG	4fe-4S ferredoxin iron-sulfur binding domain protein			SZUA-1432_3:1750..2238	F(420)H(2) dehydrogenase subunit I	K00338		K00338	K00338	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00012									SZUA-1432_4:469..606	hypothetical protein					
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00013	K00179	[EC:1.2.7.8]	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit	0KRBD@eurNOG,COG4231@NOG,arCOG01609@arNOG	indolepyruvate ferredoxin oxidoreductase, alpha subunit			SZUA-1432_4:1230..3071	Indolepyruvate oxidoreductase subunit IorA	K00179	K00179	K00179	K00179	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00014	K07574		yhbY	RNA-binding protein	02I2S@arcNOG,0KYQU@eurNOG,COG1534@NOG,arCOG01346@arNOG	CRS1_YhbY			SZUA-1432_4:3124..3375	hypothetical protein	K07574	K07574	K07574	K07574	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00015	K02966		RP-S19e, RPS19	small subunit ribosomal protein S19e	02HMT@arcNOG,0KTDI@eurNOG,COG2238@NOG,arCOG01344@arNOG	May be involved in maturation of the 30S ribosomal subunit (By similarity)			SZUA-1432_4:3378..3827	30S ribosomal protein S19e	K02966	K02966	K02966	K02966	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00016	K06875		PDCD5, TFAR19	programmed cell death protein 5	02HVW@arcNOG,0KUEA@eurNOG,COG2118@NOG,arCOG04179@arNOG	Double-stranded DNA-binding domain			SZUA-1432_4:3996..4331	DNA-binding protein	K06875	K06875	K06875	K06875	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00017	K02924		RP-L39e, RPL39	large subunit ribosomal protein L39e	02I3K@arcNOG,0KYMH@eurNOG,COG2167@NOG,arCOG04177@arNOG	50S ribosomal protein L39E			SZUA-1432_4:4337..4489	50S ribosomal protein L39e	K02924		K02924	K02924	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00018	K02016		ABC.FEV.S	iron complex transport system substrate-binding protein	02HZN@arcNOG,0KW6Z@eurNOG,0ZXYJ@NOG,arCOG03304@arNOG	Periplasmic binding protein			SZUA-1432_5:34..993	Vitamin B12-binding protein	K02016	K02016		K02016	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00019	K02015		ABC.FEV.P	iron complex transport system permease protein	02HP9@arcNOG,0KRGN@eurNOG,COG0609@NOG,arCOG01007@arNOG	transport system permease protein			SZUA-1432_5:990..2033	Cobalamin import system permease protein BtuC	K02015	K02015		K02015	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00020	K02013	[EC:3.6.3.34]	ABC.FEV.A	iron complex transport system ATP-binding protein	02HME@arcNOG,0KRDC@eurNOG,COG1120@NOG,arCOG00198@arNOG	ABC transporter related protein			SZUA-1432_5:2027..2797	Cobalamin import ATP-binding protein BtuD	K02013	K02013		K02013	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00021					111A6@NOG,arCOG10950@arNOG				SZUA-1432_6:c(802..1371)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00022									SZUA-1432_6:c(1859..1978)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00023	K03057		tfs	transcription termination factor TFS	02HWJ@arcNOG,0KV02@eurNOG,COG1594@NOG,arCOG00579@arNOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1432_7:c(14..325)	Transcription factor S	K03057	K03057	K03057	K03057	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00024	K11784	[EC:1.21.98.1]	mqnC	cyclic dehypoxanthinyl futalosine synthase	02HFZ@arcNOG,0KRH1@eurNOG,COG1060@NOG,arCOG00656@arNOG	Elp3			SZUA-1432_7:c(743..1822)	FO synthase subunit 2	K11784	K11784	K11784	K11781	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00025	K06874		K06874	zinc finger protein	02HMR@arcNOG,0KTDN@eurNOG,COG1779@NOG,arCOG04265@arNOG	ZPR1-related zinc finger protein			SZUA-1432_7:c(1803..2381)	hypothetical protein	K06874	K06874	K06874	K06874	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00026	K09152		K09152	uncharacterized protein	0KTUK@eurNOG,COG2450@NOG,arCOG02263@arNOG	Protein of unknown function (DUF552)			SZUA-1432_7:c(2383..2748)	hypothetical protein	K09152	K09152		K09152	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00027	K06897	[EC:2.5.1.105]	K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase	0FCPM@creNOG,COG1237@NOG,arCOG00503@arNOG	Beta-lactamase domain-containing protein			SZUA-1432_8:c(637..1368)	7, 8-dihydropterin-6-methyl-4-(beta-D-ribofuranosyl)- aminobenzene-5'-phosphate synthase	K06897	K06897		K06897	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00028	K10747	[EC:6.5.1.1][EC:6.5.1.6][EC:6.5.1.7]	LIG1	DNA ligase 1	02H0C@arcNOG,0KRJK@eurNOG,COG1793@NOG,arCOG01347@arNOG	DNA ligase that seals nicks in double-stranded DNA during DNA replication, DNA recombination and DNA repair (By similarity)			SZUA-1432_9:c(7..1680)	DNA ligase	K10747	K10747	K10747	K10747	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00029					0KUCD@eurNOG,COG2036@NOG,arCOG02144@arNOG	transcription factor CBF NF-Y histone			SZUA-1432_9:2072..2275	Archaeal histone A					
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00030	K06883		K06883	uncharacterized protein	0KSHZ@eurNOG,COG1100@NOG,arCOG00354@arNOG	GTP-binding protein			SZUA-1432_9:2540..3175	GTPase Era	K06883	K06883	K06883	K06883	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00031	K09743		K09743	uncharacterized protein	02HS2@arcNOG,0KTYC@eurNOG,COG3365@NOG,arCOG04416@arNOG	Uncharacterized protein conserved in archaea (DUF2073)			SZUA-1432_9:3189..3536	hypothetical protein	K09743	K09743	K09743	K09743	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00032	K07163		K07163	uncharacterized protein	02HYY@arcNOG,0KTFP@eurNOG,COG3364@NOG,arCOG04417@arNOG	Zn-ribbon containing protein (DUF2072)			SZUA-1432_9:3540..3893	hypothetical protein	K07163	K07163	K07163	K07163	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00033	K03404	[EC:6.6.1.1]	chlD, bchD	magnesium chelatase subunit D	0KRF1@eurNOG,COG1239@NOG,COG1240@NOG,arCOG00438@arNOG,arCOG06472@arNOG	magnesium chelatase (EC 6.6.1.1)			SZUA-1432_10:c(790..2718)	hypothetical protein	K03404	K03404	K03405	K03404	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00034	K02230	[EC:6.6.1.2]	cobN	cobaltochelatase CobN	0KR9F@eurNOG,COG1429@NOG,arCOG03022@arNOG	Cobaltochelatase			SZUA-1432_10:c(2709..4133)	hypothetical protein	K02230	K02230		K02230	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00035	K02230	[EC:6.6.1.2]	cobN	cobaltochelatase CobN	0KR9F@eurNOG,COG1429@NOG,arCOG03022@arNOG	Cobaltochelatase			SZUA-1432_10:c(4111..5571)	hypothetical protein	K02230	K02230		K02230	
Archaeoglobus_profundus_SZUA-1432|SZUA-1432_00036	K03924	[EC:3.6.3.-]	moxR	MoxR-like ATPase	02HTP@arcNOG,0KSR5@eurNOG,COG0714@NOG,arCOG00436@arNOG	ATPase associated with various cellular activities AAA_5			SZUA-1432_11:17..1171	ATPase RavA	K03924	K03924		K03924	
