#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00001	K00962	[EC:2.7.7.8]	pnp, PNPT1	polyribonucleotide nucleotidyltransferase	003T9@aciNOG,05C62@bactNOG,COG1185@NOG	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity)			SZUA-1292_1:20..1114	Polyribonucleotide nucleotidyltransferase	K00962	K00962		K00962	K00962
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00002	K06013	[EC:3.4.24.84]	STE24	STE24 endopeptidase	0075X@aciNOG,05C2Y@bactNOG,COG0501@NOG	Peptidase family M48			SZUA-1292_1:c(1184..2011)	Protease HtpX	K06013	K06013		K06013	K07387
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00003	K03529		smc	chromosome segregation protein	003C8@aciNOG,05CDB@bactNOG,COG1196@NOG	Required for chromosome condensation and partitioning (By similarity)			SZUA-1292_1:c(2404..3933)	Chromosome partition protein Smc	K03529	K03529		K03529	K19940
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00004									SZUA-1292_2:609..770	hypothetical protein					
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00005	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1292_2:c(1805..2584)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00006	K02967		RP-S2, MRPS2, rpsB	small subunit ribosomal protein S2	05CE9@bactNOG,0QHY7@gproNOG,16PFF@proNOG,COG0052@NOG	30S ribosomal protein S2			SZUA-1292_2:2772..3497	30S ribosomal protein S2	K02967	K02967	K02967	K02967	K02998
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00007	K02357		tsf, TSFM	elongation factor Ts	05CU7@bactNOG,0QI4Y@gproNOG,16QAP@proNOG,COG0264@NOG	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)			SZUA-1292_2:3597..4472	Elongation factor Ts	K02357	K02357	K02357	K02357	K02357
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00008	K09903	[EC:2.7.4.22]	pyrH	uridylate kinase	05C41@bactNOG,0QHYJ@gproNOG,16Q8Q@proNOG,COG0528@NOG	Catalyzes the reversible phosphorylation of UMP to UDP (By similarity)			SZUA-1292_2:4494..5207	Uridylate kinase	K09903	K09903		K09903	K09903
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00009	K02838		frr, MRRF, RRF	ribosome recycling factor	08VCV@bactNOG,0QK49@gproNOG,16X46@proNOG,COG0233@NOG	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)			SZUA-1292_2:5220..5777	Ribosome-recycling factor	K02838	K02838		K02838	K02838
Chromatiales_bacterium_SZUA-1292|SZUA-1292_00010	K00806	[EC:2.5.1.31]	uppS	undecaprenyl diphosphate synthase	05CR3@bactNOG,0B81I@bproNOG,16PWI@proNOG,COG0020@NOG	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)			SZUA-1292_2:5791..6543	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	K00806	K00806		K00806	K21273
