#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00001	K00344	[EC:1.6.5.5]	qor, CRYZ	NADPH2:quinone reductase	05EE6@bactNOG,0D4HV@chloNOG,COG0604@NOG	Alcohol dehydrogenase zinc-binding domain protein			SZUA-1128_1:c(145..1113)	Quinone oxidoreductase 1	K00344	K00344		K00344	K21839
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00002									SZUA-1128_1:c(1247..1648)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00003									SZUA-1128_2:143..832	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00004									SZUA-1128_2:c(869..1468)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00005					05D8N@bactNOG,0BBXB@bproNOG,0XTIR@NOG,16QDH@proNOG	redoxin domain-containing protein			SZUA-1128_2:c(1538..1810)	Protein DipZ					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00006					02AM3@aproNOG,06TPE@bactNOG,0YM7S@NOG,188YV@proNOG				SZUA-1128_3:597..950	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00007									SZUA-1128_3:1204..1350	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00008									SZUA-1128_3:1417..1983	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00009	K00950	[EC:2.7.6.3]	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	05K8U@bactNOG,0D2S8@chloNOG,0D8MF@chlorNOG,COG0801@NOG	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase			SZUA-1128_3:c(1878..2219)	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	K00950	K00950		K00950	K13941
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00010	K03531		ftsZ	cell division protein FtsZ	05CDK@bactNOG,COG0206@NOG	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)			SZUA-1128_4:c(397..1551)	Cell division protein FtsZ	K03531	K03531		K03531	K03531
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00011	K16264		czcD, zitB	cobalt-zinc-cadmium efflux system protein	05D04@bactNOG,0BC1I@bproNOG,16QGY@proNOG,COG1230@NOG	Cation efflux protein			SZUA-1128_5:c(388..1041)	Zinc transporter ZitB	K16264				K16264
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00012									SZUA-1128_5:c(1109..1234)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00013	K03519	[EC:1.2.5.3]	coxM, cutM	aerobic carbon-monoxide dehydrogenase medium subunit	05FG6@bactNOG,0D1N8@chloNOG,COG1319@NOG	Molybdopterin dehydrogenase FAD-binding			SZUA-1128_5:c(1755..2117)	hypothetical protein	K03519	K03519		K03519	K20445
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00014	K06147		ABCB-BAC	ATP-binding cassette, subfamily B, bacterial	05BZ1@bactNOG,0D1H7@chloNOG,COG1132@NOG	ABC transporter			SZUA-1128_6:402..2204	Putative multidrug export ATP-binding/permease protein	K06147	K06147		K06147	K20485
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00015	K06147		ABCB-BAC	ATP-binding cassette, subfamily B, bacterial	01QSH@aproNOG,05BZ1@bactNOG,16PGA@proNOG,COG1132@NOG	ABC transporter			SZUA-1128_6:2204..4117	putative ABC transporter ATP-binding protein	K06147	K06147		K06147	K20485
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00016									SZUA-1128_7:6..188	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00017	K11325		K11325	L-cysteine/cystine lyase	050K1@bacNOG,05E3V@bactNOG,0NK3Q@firmNOG,COG0520@NOG	Cys/Met metabolism PLP-dependent enzyme			SZUA-1128_7:c(196..1356)	Isopenicillin N epimerase	K11325			K11325	K21330
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00018					08SAZ@bactNOG,11H0V@NOG,1DHQ6@verNOG,1DMN2@verrNOG	NIPSNAP			SZUA-1128_7:c(1491..2144)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00019					024T2@aproNOG,0688W@bactNOG,0XUYC@NOG,17RWI@proNOG	glyoxalase bleomycin resistance protein dioxygenase			SZUA-1128_7:c(2196..2555)	Metallothiol transferase FosB					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00020	K00077	[EC:1.1.1.169]	panE, apbA	2-dehydropantoate 2-reductase	07RZY@bactNOG,0NESP@firmNOG,0X3SM@negNOG,COG1893@NOG	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)			SZUA-1128_8:c(590..1546)	Putative 2-dehydropantoate 2-reductase	K00077	K00077		K00077	K17665
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00021					00C1K@actNOG,05DCM@bactNOG,0XPZP@NOG	Major facilitator superfamily			SZUA-1128_8:1867..3222	putative MFS-type transporter YhjX					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00022					05ZN9@bactNOG,11SSY@NOG				SZUA-1128_9:36..404	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00023	K00217	[EC:1.3.1.32]	E1.3.1.32	maleylacetate reductase	00MK7@actNOG,07UHR@bactNOG,COG1454@NOG	alcohol dehydrogenase			SZUA-1128_9:445..1647	Long-chain-alcohol dehydrogenase 1	K00217			K00217	K19954
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00024					00CY2@actNOG,05EWF@bactNOG,0XQGY@NOG	ATP GTP Binding Protein			SZUA-1128_9:1775..2041	hypothetical protein					
