#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00001	K15408	[EC:1.9.3.1]	coxAC	cytochrome c oxidase subunit I+III	0FB5V@creNOG,COG0843@NOG,COG1845@NOG,arCOG01237@arNOG,arCOG01238@arNOG	oxidase, subunit I III			SZUA-1515_1:59..1555	Cytochrome c oxidase polypeptide 1	K15408	K15408		K02274	
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00002									SZUA-1515_1:1566..1868	hypothetical protein					
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00003	K22348	[EC:1.16.3.3]	moxA	manganese oxidase	05CEI@bactNOG,COG2132@NOG	nitrite reductase			SZUA-1515_1:1883..2335	hypothetical protein	K22348	K22348		K00368	K20219
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00005	K00759	[EC:2.4.2.7]	APRT, apt	adenine phosphoribosyltransferase	07XE3@bactNOG,0ESMU@cloNOG,0NH7X@firmNOG,COG0503@NOG	Phosphoribosyl transferase domain protein			SZUA-1515_1:c(2649..3236)	Hypoxanthine/guanine phosphoribosyltransferase	K00759	K00759		K00759	K09685
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00006									SZUA-1515_1:c(3211..3378)	hypothetical protein					
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00007	K01518	[EC:3.6.1.17]	NUDT2	bis(5'-nucleosidyl)-tetraphosphatase	0FEJ8@creNOG,COG0494@NOG,arCOG01078@arNOG	NUDIX domain			SZUA-1515_2:c(370..822)	RNA pyrophosphohydrolase	K01518		K01518	K02334	
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00008	K03644	[EC:2.8.1.8]	lipA	lipoyl synthase	05C0G@bactNOG,0GBEQ@delNOG,0HCVP@dproNOG,16Q8G@proNOG,COG0320@NOG	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)			SZUA-1515_2:912..1808	Lipoyl synthase	K03644	K03644	K03644	K03644	K03644
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00009	K00167	[EC:1.2.4.4]	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component beta subunit	05CPP@bactNOG,0G82J@deiNOG,COG0022@NOG	Dehydrogenase			SZUA-1515_2:1860..2834	1-deoxy-D-xylulose-5-phosphate synthase	K00167	K00167	K00162	K00167	K21417
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00010	K00382	[EC:1.8.1.4]	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase	07QN2@bactNOG,0GBA1@delNOG,0HCFY@dproNOG,16Q3B@proNOG,COG1249@NOG	Dihydrolipoyl dehydrogenase			SZUA-1515_2:2896..4293	Dihydrolipoyl dehydrogenase	K00382	K00382		K00382	K21739
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00011	K02039		phoU	phosphate transport system protein	0KR94@eurNOG,0WKDJ@methaNOG,COG0704@NOG,arCOG00318@arNOG	phosphate uptake regulator PhoU			SZUA-1515_3:c(659..1729)	hypothetical protein	K02039			K02039	
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00012	K01637	[EC:4.1.3.1]	E4.1.3.1, aceA	isocitrate lyase	04SY7@bacNOG,07RPH@bactNOG,0NEM7@firmNOG,COG2224@NOG	Isocitrate lyase			SZUA-1515_3:1856..3127	Isocitrate lyase	K01637	K01637	K01637	K01637	K01637
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00013	K01638	[EC:2.3.3.9]	aceB, glcB	malate synthase	0FB6D@creNOG,COG2225@NOG,arCOG05498@arNOG	Malate synthase			SZUA-1515_3:c(3140..4189)	hypothetical protein	K01638	K01638		K01638	
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00014									SZUA-1515_4:68..844	hypothetical protein					
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00015									SZUA-1515_4:864..1223	hypothetical protein					
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00016									SZUA-1515_4:1235..1669	Holliday junction resolvase Hjc					
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00017	K03718		asnC	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	051W2@bacNOG,08UNB@bactNOG,0NQH0@firmNOG,COG1522@NOG	Transcriptional regulator			SZUA-1515_4:1656..2108	putative HTH-type transcriptional regulator	K03718	K03718		K03718	K15782
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00018	K00600	[EC:2.1.2.1]	glyA, SHMT	glycine hydroxymethyltransferase	0FB86@creNOG,COG0112@NOG,arCOG00070@arNOG	Catalyzes the reversible interconversion of serine and glycine with a modified folate serving as the one-carbon carrier. Also exhibits a pteridine-independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)			SZUA-1515_4:2145..3311	Serine hydroxymethyltransferase	K00600	K00600		K00600	
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00019	K17942	[EC:4.1.1.99]	pmd	phosphomevalonate decarboxylase	0KST0@eurNOG,0RF58@halNOG,COG3407@NOG,arCOG02937@arNOG	diphosphomevalonate decarboxylase			SZUA-1515_4:3329..4300	Phosphomevalonate decarboxylase	K17942	K17942		K01597	
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00020	K22585				0KRWM@eurNOG,COG1602@NOG,arCOG04269@arNOG	Archaeal protein of unknown function (DUF651)			SZUA-1515_4:c(4307..5575)	DNA repair protein NreB	K22585	K22585			
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00021					0KTZW@eurNOG,1CF0P@thermNOG,COG1694@NOG,arCOG01084@arNOG	Nucleotide pyrophosphohydrolase			SZUA-1515_4:c(5560..5871)	hypothetical protein					
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00022	K13038	[EC:4.1.1.36][EC:6.3.2.5]	coaBC, dfp	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase	0KRBR@eurNOG,1CE5Y@thermNOG,COG0452@NOG,arCOG01704@arNOG	bifunctional phosphopantothenoylcysteine decarboxylase phosphopantothenate synthase			SZUA-1515_4:c(6179..7420)	hypothetical protein	K13038	K13038		K13038	
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00023									SZUA-1515_4:c(7455..8051)	hypothetical protein					
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00024	K15020	[EC:1.3.1.84]	K15020	acryloyl-coenzyme A reductase	02TA3@arNOG,0M1Y9@eurNOG,1CDJ5@theNOG,COG1064@NOG	alcohol dehydrogenase			SZUA-1515_5:764..1780	Acryloyl-coenzyme A reductase	K15020	K15020		K15020	K21190
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00025					0FB7V@creNOG,COG0467@NOG,arCOG01171@arNOG	circadian clock protein, KaiC			SZUA-1515_5:1812..2612	hypothetical protein					
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00026	K19244	[EC:1.4.1.1]	ala	alanine dehydrogenase	0FC9R@creNOG,COG2423@NOG,arCOG01035@arNOG	ornithine cyclodeaminase			SZUA-1515_5:2667..3674	Alanine dehydrogenase	K19244	K19244	K19244	K19244	
Candidatus_subterraneum_SZUA-1515|SZUA-1515_00027									SZUA-1515_5:3721..3885	hypothetical protein					
